number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-88877.81159326383,2025-12-08 12:37:04.540609,2025-12-08 12:37:05.656901,0 days 00:00:01.116292,extensive,final,ols,pca_block,True,COMPLETE
1,-88878.36645986086,2025-12-08 12:37:05.657561,2025-12-08 12:37:06.914768,0 days 00:00:01.257207,extensive,final,ols,pca_block,True,COMPLETE
2,-88878.95904212812,2025-12-08 12:37:06.915271,2025-12-08 12:37:08.172004,0 days 00:00:01.256733,extensive,final,ols,pca_block,True,COMPLETE
3,-88878.67727958068,2025-12-08 12:37:08.172004,2025-12-08 12:37:09.405818,0 days 00:00:01.233814,extensive,final,ols,pca_block,True,COMPLETE
4,-88877.3108531502,2025-12-08 12:37:09.405818,2025-12-08 12:37:10.574240,0 days 00:00:01.168422,extensive,final,ols,pca_block,True,COMPLETE
5,-88876.80224762188,2025-12-08 12:37:10.574240,2025-12-08 12:37:11.815058,0 days 00:00:01.240818,extensive,final,ols,pca_block,True,COMPLETE
6,-88878.49886434118,2025-12-08 12:37:11.816068,2025-12-08 12:37:13.072780,0 days 00:00:01.256712,extensive,final,ols,pca_block,True,COMPLETE
7,-88877.02757682936,2025-12-08 12:37:13.073907,2025-12-08 12:37:14.314021,0 days 00:00:01.240114,extensive,final,ols,pca_block,True,COMPLETE
8,-88880.87104244721,2025-12-08 12:37:14.315025,2025-12-08 12:37:15.539714,0 days 00:00:01.224689,extensive,final,ols,pca_block,True,COMPLETE
9,-88878.65457256675,2025-12-08 12:37:15.539714,2025-12-08 12:37:16.753117,0 days 00:00:01.213403,extensive,final,ols,pca_block,True,COMPLETE
10,-88878.18386257185,2025-12-08 12:37:16.753117,2025-12-08 12:37:17.967053,0 days 00:00:01.213936,extensive,final,ols,pca_block,True,COMPLETE
11,-88878.298568529,2025-12-08 12:37:17.968333,2025-12-08 12:37:19.188366,0 days 00:00:01.220033,extensive,final,ols,pca_block,True,COMPLETE
12,-88880.44784469869,2025-12-08 12:37:19.188366,2025-12-08 12:37:20.426896,0 days 00:00:01.238530,extensive,final,ols,pca_block,True,COMPLETE
13,-88879.61532008818,2025-12-08 12:37:20.426896,2025-12-08 12:37:21.641186,0 days 00:00:01.214290,extensive,final,ols,pca_block,True,COMPLETE
14,-88878.09447649731,2025-12-08 12:37:21.642188,2025-12-08 12:37:22.880824,0 days 00:00:01.238636,extensive,final,ols,pca_block,True,COMPLETE
15,-88878.79059093869,2025-12-08 12:37:22.880824,2025-12-08 12:37:24.107836,0 days 00:00:01.227012,extensive,final,ols,pca_block,True,COMPLETE
16,-88878.90979406155,2025-12-08 12:37:24.108895,2025-12-08 12:37:25.352942,0 days 00:00:01.244047,extensive,final,ols,pca_block,True,COMPLETE
17,-88875.58533498073,2025-12-08 12:37:25.352942,2025-12-08 12:37:26.737782,0 days 00:00:01.384840,extensive,final,ols,pca_block,True,COMPLETE
18,-88882.3187066681,2025-12-08 12:37:26.737782,2025-12-08 12:37:27.971801,0 days 00:00:01.234019,extensive,final,ols,pca_block,True,COMPLETE
19,-88872.50818839624,2025-12-08 12:37:27.973048,2025-12-08 12:37:29.204682,0 days 00:00:01.231634,extensive,final,ols,pca_block,True,COMPLETE
20,-88878.74124544095,2025-12-08 12:37:29.204682,2025-12-08 12:37:30.424942,0 days 00:00:01.220260,extensive,final,ols,pca_block,True,COMPLETE
21,-88879.04066875736,2025-12-08 12:37:30.426950,2025-12-08 12:37:31.674502,0 days 00:00:01.247552,extensive,final,ols,pca_block,True,COMPLETE
22,-88881.93670402688,2025-12-08 12:37:31.674502,2025-12-08 12:37:32.897277,0 days 00:00:01.222775,extensive,final,ols,pca_block,True,COMPLETE
23,-88879.4402149068,2025-12-08 12:37:32.898201,2025-12-08 12:37:34.109378,0 days 00:00:01.211177,extensive,final,ols,pca_block,True,COMPLETE
24,-88878.55240384351,2025-12-08 12:37:34.110443,2025-12-08 12:37:35.331598,0 days 00:00:01.221155,extensive,final,ols,pca_block,True,COMPLETE
25,-88873.35271649832,2025-12-08 12:37:35.331598,2025-12-08 12:37:36.540970,0 days 00:00:01.209372,extensive,final,ols,pca_block,True,COMPLETE
26,-88878.02853431377,2025-12-08 12:37:36.540970,2025-12-08 12:37:37.754967,0 days 00:00:01.213997,extensive,final,ols,pca_block,True,COMPLETE
27,-88879.11736756709,2025-12-08 12:37:37.756568,2025-12-08 12:37:38.974743,0 days 00:00:01.218175,extensive,final,ols,pca_block,True,COMPLETE
28,-88878.42466546562,2025-12-08 12:37:38.974743,2025-12-08 12:37:40.204685,0 days 00:00:01.229942,extensive,final,ols,pca_block,True,COMPLETE
29,-88878.66041781621,2025-12-08 12:37:40.204685,2025-12-08 12:37:41.473881,0 days 00:00:01.269196,extensive,final,ols,pca_block,True,COMPLETE
30,-88878.20242340647,2025-12-08 12:37:41.476018,2025-12-08 12:37:42.739623,0 days 00:00:01.263605,extensive,final,ols,pca_block,True,COMPLETE
31,-88876.7266792031,2025-12-08 12:37:42.741082,2025-12-08 12:37:43.975159,0 days 00:00:01.234077,extensive,final,ols,pca_block,True,COMPLETE
32,-88878.15886499854,2025-12-08 12:37:43.975949,2025-12-08 12:37:45.283492,0 days 00:00:01.307543,extensive,final,ols,pca_block,True,COMPLETE
33,-88877.77971635982,2025-12-08 12:37:45.284624,2025-12-08 12:37:46.576658,0 days 00:00:01.292034,extensive,final,ols,pca_block,True,COMPLETE
34,-88876.6174813829,2025-12-08 12:37:46.576658,2025-12-08 12:37:47.834868,0 days 00:00:01.258210,extensive,final,ols,pca_block,True,COMPLETE
35,-88876.64215715107,2025-12-08 12:37:47.834868,2025-12-08 12:37:49.075470,0 days 00:00:01.240602,extensive,final,ols,pca_block,True,COMPLETE
