number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-20599.102309702565,2025-12-08 12:30:16.240152,2025-12-08 12:30:17.578908,0 days 00:00:01.338756,extensive,final,ols,pca_hybrid,True,COMPLETE
1,-20510.55552418267,2025-12-08 12:30:17.579911,2025-12-08 12:30:18.915776,0 days 00:00:01.335865,extensive,final,ols,pca_hybrid,True,COMPLETE
2,-20437.19791018018,2025-12-08 12:30:18.915776,2025-12-08 12:30:20.259272,0 days 00:00:01.343496,extensive,final,ols,pca_hybrid,True,COMPLETE
3,-20573.240133094383,2025-12-08 12:30:20.259968,2025-12-08 12:30:21.644449,0 days 00:00:01.384481,extensive,final,ols,pca_hybrid,True,COMPLETE
4,-20534.767714494807,2025-12-08 12:30:21.645481,2025-12-08 12:30:22.978956,0 days 00:00:01.333475,extensive,final,ols,pca_hybrid,True,COMPLETE
5,-20360.919680231906,2025-12-08 12:30:22.978956,2025-12-08 12:30:24.350252,0 days 00:00:01.371296,extensive,final,ols,pca_hybrid,True,COMPLETE
6,-20458.138872783846,2025-12-08 12:30:24.350252,2025-12-08 12:30:25.726792,0 days 00:00:01.376540,extensive,final,ols,pca_hybrid,True,COMPLETE
7,-20544.33263647549,2025-12-08 12:30:25.726792,2025-12-08 12:30:27.063640,0 days 00:00:01.336848,extensive,final,ols,pca_hybrid,True,COMPLETE
8,-20106.738990869442,2025-12-08 12:30:27.063640,2025-12-08 12:30:28.397347,0 days 00:00:01.333707,extensive,final,ols,pca_hybrid,True,COMPLETE
9,-20542.23214168185,2025-12-08 12:30:28.397347,2025-12-08 12:30:29.757884,0 days 00:00:01.360537,extensive,final,ols,pca_hybrid,True,COMPLETE
10,-19853.539377790647,2025-12-08 12:30:29.757884,2025-12-08 12:30:31.129505,0 days 00:00:01.371621,extensive,final,ols,pca_hybrid,True,COMPLETE
11,-21088.39776426537,2025-12-08 12:30:31.130735,2025-12-08 12:30:32.512753,0 days 00:00:01.382018,extensive,final,ols,pca_hybrid,True,COMPLETE
12,-20148.03782705319,2025-12-08 12:30:32.513842,2025-12-08 12:30:33.916160,0 days 00:00:01.402318,extensive,final,ols,pca_hybrid,True,COMPLETE
13,-20433.918031833255,2025-12-08 12:30:33.916160,2025-12-08 12:30:35.318859,0 days 00:00:01.402699,extensive,final,ols,pca_hybrid,True,COMPLETE
14,-20536.022170597265,2025-12-08 12:30:35.318859,2025-12-08 12:30:36.727890,0 days 00:00:01.409031,extensive,final,ols,pca_hybrid,True,COMPLETE
15,-21434.100558089878,2025-12-08 12:30:36.727890,2025-12-08 12:30:38.128498,0 days 00:00:01.400608,extensive,final,ols,pca_hybrid,True,COMPLETE
16,-21070.35398479092,2025-12-08 12:30:38.128498,2025-12-08 12:30:39.448515,0 days 00:00:01.320017,extensive,final,ols,pca_hybrid,True,COMPLETE
17,-20535.009288151796,2025-12-08 12:30:39.448515,2025-12-08 12:30:40.807414,0 days 00:00:01.358899,extensive,final,ols,pca_hybrid,True,COMPLETE
18,-20758.137934495284,2025-12-08 12:30:40.807414,2025-12-08 12:30:42.177351,0 days 00:00:01.369937,extensive,final,ols,pca_hybrid,True,COMPLETE
19,-20917.395329153715,2025-12-08 12:30:42.177351,2025-12-08 12:30:43.448074,0 days 00:00:01.270723,extensive,final,ols,pca_hybrid,True,COMPLETE
20,-20655.498855624825,2025-12-08 12:30:43.448074,2025-12-08 12:30:44.822095,0 days 00:00:01.374021,extensive,final,ols,pca_hybrid,True,COMPLETE
21,-20772.973367875275,2025-12-08 12:30:44.822095,2025-12-08 12:30:46.195690,0 days 00:00:01.373595,extensive,final,ols,pca_hybrid,True,COMPLETE
22,-20411.810942644577,2025-12-08 12:30:46.196327,2025-12-08 12:30:47.548040,0 days 00:00:01.351713,extensive,final,ols,pca_hybrid,True,COMPLETE
23,-20821.974339321652,2025-12-08 12:30:47.548040,2025-12-08 12:30:48.894716,0 days 00:00:01.346676,extensive,final,ols,pca_hybrid,True,COMPLETE
24,-20161.982920458835,2025-12-08 12:30:48.894716,2025-12-08 12:30:50.240110,0 days 00:00:01.345394,extensive,final,ols,pca_hybrid,True,COMPLETE
25,-21200.187151845133,2025-12-08 12:30:50.241112,2025-12-08 12:30:51.630728,0 days 00:00:01.389616,extensive,final,ols,pca_hybrid,True,COMPLETE
