number,value,datetime_start,datetime_complete,duration,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-3637.4191004096324,2025-12-08 12:23:20.831242,2025-12-08 12:23:23.602589,0 days 00:00:02.771347,extensive,final,ols,pca_only,True,COMPLETE
1,-4070.6570027640155,2025-12-08 12:23:23.603628,2025-12-08 12:23:25.766171,0 days 00:00:02.162543,extensive,final,ols,pca_only,True,COMPLETE
2,-4055.3385026134797,2025-12-08 12:23:25.766171,2025-12-08 12:23:27.899265,0 days 00:00:02.133094,extensive,final,ols,pca_only,True,COMPLETE
3,-4020.6534189102695,2025-12-08 12:23:27.899265,2025-12-08 12:23:30.166393,0 days 00:00:02.267128,extensive,final,ols,pca_only,True,COMPLETE
4,-3914.6887219685,2025-12-08 12:23:30.166393,2025-12-08 12:23:32.435374,0 days 00:00:02.268981,extensive,final,ols,pca_only,True,COMPLETE
5,-3840.0637210425666,2025-12-08 12:23:32.436375,2025-12-08 12:23:34.003414,0 days 00:00:01.567039,extensive,final,ols,pca_only,True,COMPLETE
6,-3688.0546103968663,2025-12-08 12:23:34.003414,2025-12-08 12:23:35.260737,0 days 00:00:01.257323,extensive,final,ols,pca_only,True,COMPLETE
7,-3946.7739477320374,2025-12-08 12:23:35.260737,2025-12-08 12:23:36.584119,0 days 00:00:01.323382,extensive,final,ols,pca_only,True,COMPLETE
8,-4023.324523432036,2025-12-08 12:23:36.584119,2025-12-08 12:23:37.937156,0 days 00:00:01.353037,extensive,final,ols,pca_only,True,COMPLETE
9,-4078.465597515678,2025-12-08 12:23:37.940980,2025-12-08 12:23:39.309861,0 days 00:00:01.368881,extensive,final,ols,pca_only,True,COMPLETE
10,-4306.254846710763,2025-12-08 12:23:39.309861,2025-12-08 12:23:40.637753,0 days 00:00:01.327892,extensive,final,ols,pca_only,True,COMPLETE
11,-4183.775526355354,2025-12-08 12:23:40.637753,2025-12-08 12:23:41.985278,0 days 00:00:01.347525,extensive,final,ols,pca_only,True,COMPLETE
