number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-88868.88113352715,2025-12-08 12:58:57.155599,2025-12-08 12:58:58.849361,0 days 00:00:01.693762,0.0008824763948910679,extensive,final,ridge,pca_block,True,COMPLETE
1,-88860.98806119488,2025-12-08 12:58:58.849361,2025-12-08 12:59:00.566789,0 days 00:00:01.717428,0.0013215107400658729,extensive,final,ridge,pca_block,True,COMPLETE
2,-88844.50576607154,2025-12-08 12:59:00.581066,2025-12-08 12:59:02.937601,0 days 00:00:02.356535,0.0029962278947444116,extensive,final,ridge,pca_block,True,COMPLETE
3,-88777.50314670161,2025-12-08 12:59:02.939118,2025-12-08 12:59:05.268310,0 days 00:00:02.329192,0.009340102798075204,extensive,final,ridge,pca_block,True,COMPLETE
4,-10171.524681290015,2025-12-08 12:59:05.270326,2025-12-08 12:59:07.593986,0 days 00:00:02.323660,117.45611861236719,extensive,final,ridge,pca_block,True,COMPLETE
5,-87942.53877470382,2025-12-08 12:59:07.593986,2025-12-08 12:59:09.817428,0 days 00:00:02.223442,0.09011026749095355,extensive,final,ridge,pca_block,True,COMPLETE
6,-75238.38909502492,2025-12-08 12:59:09.817428,2025-12-08 12:59:11.556369,0 days 00:00:01.738941,2.188917047433688,extensive,final,ridge,pca_block,True,COMPLETE
7,-88669.58189935895,2025-12-08 12:59:11.556369,2025-12-08 12:59:13.022983,0 days 00:00:01.466614,0.019681738839699574,extensive,final,ridge,pca_block,True,COMPLETE
8,-84463.15043895289,2025-12-08 12:59:13.022983,2025-12-08 12:59:14.722799,0 days 00:00:01.699816,0.5219712101219686,extensive,final,ridge,pca_block,True,COMPLETE
9,-88770.32027569374,2025-12-08 12:59:14.722799,2025-12-08 12:59:16.395802,0 days 00:00:01.673003,0.00975239310466585,extensive,final,ridge,pca_block,True,COMPLETE
10,-212.3078214394468,2025-12-08 12:59:16.395802,2025-12-08 12:59:18.869171,0 days 00:00:02.473369,526.0317763236222,extensive,final,ridge,pca_block,True,COMPLETE
11,-12.260239780181278,2025-12-08 12:59:18.871186,2025-12-08 12:59:21.318674,0 days 00:00:02.447488,778.9922333088854,extensive,final,ridge,pca_block,True,COMPLETE
12,-30.229932911931357,2025-12-08 12:59:21.318674,2025-12-08 12:59:23.643843,0 days 00:00:02.325169,842.5615120603856,extensive,final,ridge,pca_block,True,COMPLETE
