number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-18822.16554007661,2025-12-08 12:50:27.088324,2025-12-08 12:50:28.408280,0 days 00:00:01.319956,32.70837422332479,extensive,final,ridge,pca_hybrid,True,COMPLETE
1,-19421.14211019193,2025-12-08 12:50:28.408280,2025-12-08 12:50:29.690779,0 days 00:00:01.282499,0.5564422859345513,extensive,final,ridge,pca_hybrid,True,COMPLETE
2,-20746.762169680613,2025-12-08 12:50:29.690779,2025-12-08 12:50:31.006527,0 days 00:00:01.315748,0.01270823692193203,extensive,final,ridge,pca_hybrid,True,COMPLETE
3,-18981.172982884742,2025-12-08 12:50:31.007765,2025-12-08 12:50:32.390165,0 days 00:00:01.382400,43.26534007890172,extensive,final,ridge,pca_hybrid,True,COMPLETE
4,-19836.74038374842,2025-12-08 12:50:32.390165,2025-12-08 12:50:33.706454,0 days 00:00:01.316289,0.005774555275660855,extensive,final,ridge,pca_hybrid,True,COMPLETE
5,-20372.495533375873,2025-12-08 12:50:33.706454,2025-12-08 12:50:35.057033,0 days 00:00:01.350579,0.009428726678991438,extensive,final,ridge,pca_hybrid,True,COMPLETE
6,-20381.187310502628,2025-12-08 12:50:35.057033,2025-12-08 12:50:36.392164,0 days 00:00:01.335131,0.010675058585769604,extensive,final,ridge,pca_hybrid,True,COMPLETE
7,-18593.153408703845,2025-12-08 12:50:36.392164,2025-12-08 12:50:37.740039,0 days 00:00:01.347875,5.672686808633482,extensive,final,ridge,pca_hybrid,True,COMPLETE
8,-19245.86919978699,2025-12-08 12:50:37.740377,2025-12-08 12:50:39.022274,0 days 00:00:01.281897,1.2323708905106283,extensive,final,ridge,pca_hybrid,True,COMPLETE
9,-19203.444521582755,2025-12-08 12:50:39.023278,2025-12-08 12:50:40.390328,0 days 00:00:01.367050,0.3575507893093969,extensive,final,ridge,pca_hybrid,True,COMPLETE
10,-12902.860033716339,2025-12-08 12:50:40.390328,2025-12-08 12:50:41.673696,0 days 00:00:01.283368,482.48062064701537,extensive,final,ridge,pca_hybrid,True,COMPLETE
11,-9377.294706275445,2025-12-08 12:50:41.673696,2025-12-08 12:50:42.990463,0 days 00:00:01.316767,919.8784314684684,extensive,final,ridge,pca_hybrid,True,COMPLETE
12,-9197.334066043502,2025-12-08 12:50:42.991542,2025-12-08 12:50:44.300177,0 days 00:00:01.308635,965.1663225302536,extensive,final,ridge,pca_hybrid,True,COMPLETE
13,-9763.688304902576,2025-12-08 12:50:44.301831,2025-12-08 12:50:45.584970,0 days 00:00:01.283139,856.3369116900849,extensive,final,ridge,pca_hybrid,True,COMPLETE
14,-17935.07262324547,2025-12-08 12:50:45.585980,2025-12-08 12:50:46.882970,0 days 00:00:01.296990,89.7882288127307,extensive,final,ridge,pca_hybrid,True,COMPLETE
15,-20582.74124057528,2025-12-08 12:50:46.882970,2025-12-08 12:50:48.190966,0 days 00:00:01.307996,0.00016600816240290814,extensive,final,ridge,pca_hybrid,True,COMPLETE
16,-17114.20233178047,2025-12-08 12:50:48.190966,2025-12-08 12:50:49.507538,0 days 00:00:01.316572,170.27296511424726,extensive,final,ridge,pca_hybrid,True,COMPLETE
17,-17748.78212949816,2025-12-08 12:50:49.507538,2025-12-08 12:50:50.814662,0 days 00:00:01.307124,7.6302686758935465,extensive,final,ridge,pca_hybrid,True,COMPLETE
18,-19041.79091063799,2025-12-08 12:50:50.814662,2025-12-08 12:50:52.221146,0 days 00:00:01.406484,6.324390191351906,extensive,final,ridge,pca_hybrid,True,COMPLETE
19,-14547.48479571783,2025-12-08 12:50:52.221146,2025-12-08 12:50:53.541139,0 days 00:00:01.319993,341.05954535555844,extensive,final,ridge,pca_hybrid,True,COMPLETE
20,-19896.317160881594,2025-12-08 12:50:53.544909,2025-12-08 12:50:54.891770,0 days 00:00:01.346861,0.06588832245913223,extensive,final,ridge,pca_hybrid,True,COMPLETE
21,-8979.267977500916,2025-12-08 12:50:54.892092,2025-12-08 12:50:56.259069,0 days 00:00:01.366977,994.1973728619857,extensive,final,ridge,pca_hybrid,True,COMPLETE
22,-10152.053442942148,2025-12-08 12:50:56.259069,2025-12-08 12:50:57.576316,0 days 00:00:01.317247,800.3164451760057,extensive,final,ridge,pca_hybrid,True,COMPLETE
23,-19161.660310030034,2025-12-08 12:50:57.576316,2025-12-08 12:50:58.941658,0 days 00:00:01.365342,51.019619123987646,extensive,final,ridge,pca_hybrid,True,COMPLETE
24,-17231.367903981798,2025-12-08 12:50:58.941658,2025-12-08 12:51:00.277847,0 days 00:00:01.336189,156.3573189811836,extensive,final,ridge,pca_hybrid,True,COMPLETE
25,-19123.666652142714,2025-12-08 12:51:00.277847,2025-12-08 12:51:02.128566,0 days 00:00:01.850719,14.80784012606675,extensive,final,ridge,pca_hybrid,True,COMPLETE
