number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-3624.4670678616762,2025-12-08 12:43:25.320064,2025-12-08 12:43:26.696020,0 days 00:00:01.375956,10.446972594790019,extensive,final,ridge,pca_only,True,COMPLETE
1,-3510.265475064327,2025-12-08 12:43:26.696020,2025-12-08 12:43:28.195182,0 days 00:00:01.499162,0.0002441589322786843,extensive,final,ridge,pca_only,True,COMPLETE
2,-4008.9329483262795,2025-12-08 12:43:28.195182,2025-12-08 12:43:29.625591,0 days 00:00:01.430409,0.08712634246218245,extensive,final,ridge,pca_only,True,COMPLETE
3,-3926.2216664888765,2025-12-08 12:43:29.626595,2025-12-08 12:43:30.976897,0 days 00:00:01.350302,17.773363466443353,extensive,final,ridge,pca_only,True,COMPLETE
4,-4160.309855234656,2025-12-08 12:43:30.978123,2025-12-08 12:43:32.351146,0 days 00:00:01.373023,6.217471004196978,extensive,final,ridge,pca_only,True,COMPLETE
5,-3768.2741004012246,2025-12-08 12:43:32.351146,2025-12-08 12:43:33.728984,0 days 00:00:01.377838,5.9158645787805835,extensive,final,ridge,pca_only,True,COMPLETE
6,-2464.0952295865327,2025-12-08 12:43:33.736749,2025-12-08 12:43:35.115955,0 days 00:00:01.379206,818.9618494992562,extensive,final,ridge,pca_only,True,COMPLETE
7,-4149.461104469969,2025-12-08 12:43:35.116957,2025-12-08 12:43:36.369571,0 days 00:00:01.252614,0.42034083504695163,extensive,final,ridge,pca_only,True,COMPLETE
8,-4014.6860607506974,2025-12-08 12:43:36.369571,2025-12-08 12:43:37.758871,0 days 00:00:01.389300,1.8265877243549007,extensive,final,ridge,pca_only,True,COMPLETE
9,-2397.820302625543,2025-12-08 12:43:37.759382,2025-12-08 12:43:39.080346,0 days 00:00:01.320964,906.7267194182012,extensive,final,ridge,pca_only,True,COMPLETE
10,-3846.143022700888,2025-12-08 12:43:39.081349,2025-12-08 12:43:40.461367,0 days 00:00:01.380018,0.008655629276287746,extensive,final,ridge,pca_only,True,COMPLETE
11,-2137.8228674384795,2025-12-08 12:43:40.462369,2025-12-08 12:43:41.821458,0 days 00:00:01.359089,882.0480470366017,extensive,final,ridge,pca_only,True,COMPLETE
12,-3263.0627768659647,2025-12-08 12:43:41.821458,2025-12-08 12:43:43.179060,0 days 00:00:01.357602,269.6879404574305,extensive,final,ridge,pca_only,True,COMPLETE
13,-3494.9067618459662,2025-12-08 12:43:43.179060,2025-12-08 12:43:44.596804,0 days 00:00:01.417744,126.75378102110604,extensive,final,ridge,pca_only,True,COMPLETE
14,-3344.3561271043486,2025-12-08 12:43:44.596804,2025-12-08 12:43:45.962861,0 days 00:00:01.366057,126.58169524706557,extensive,final,ridge,pca_only,True,COMPLETE
15,-3753.4589290571316,2025-12-08 12:43:45.962861,2025-12-08 12:43:47.357627,0 days 00:00:01.394766,53.94430986205988,extensive,final,ridge,pca_only,True,COMPLETE
16,-2337.5481918614328,2025-12-08 12:43:47.358322,2025-12-08 12:43:48.745165,0 days 00:00:01.386843,968.2683904085944,extensive,final,ridge,pca_only,True,COMPLETE
17,-3992.0392563874448,2025-12-08 12:43:48.745165,2025-12-08 12:43:50.097326,0 days 00:00:01.352161,0.05161439673279334,extensive,final,ridge,pca_only,True,COMPLETE
18,-3377.538995880317,2025-12-08 12:43:50.098611,2025-12-08 12:43:51.514529,0 days 00:00:01.415918,0.00029432589434940287,extensive,final,ridge,pca_only,True,COMPLETE
19,-4048.3871925929893,2025-12-08 12:43:51.515621,2025-12-08 12:43:52.899649,0 days 00:00:01.384028,0.9729114656495009,extensive,final,ridge,pca_only,True,COMPLETE
20,-4119.241148450017,2025-12-08 12:43:52.899649,2025-12-08 12:43:54.296531,0 days 00:00:01.396882,0.0021811912885129187,extensive,final,ridge,pca_only,True,COMPLETE
21,-2324.6994966283232,2025-12-08 12:43:54.296531,2025-12-08 12:43:55.650692,0 days 00:00:01.354161,812.2371764743287,extensive,final,ridge,pca_only,True,COMPLETE
22,-2120.9131069582204,2025-12-08 12:43:55.651693,2025-12-08 12:43:57.014692,0 days 00:00:01.362999,927.4846253006547,extensive,final,ridge,pca_only,True,COMPLETE
23,-3925.4305281252946,2025-12-08 12:43:57.014692,2025-12-08 12:43:58.464789,0 days 00:00:01.450097,37.863868992053874,extensive,final,ridge,pca_only,True,COMPLETE
24,-3474.405515351878,2025-12-08 12:43:58.465791,2025-12-08 12:43:59.885055,0 days 00:00:01.419264,241.28753542050634,extensive,final,ridge,pca_only,True,COMPLETE
25,-3778.013526094995,2025-12-08 12:43:59.886100,2025-12-08 12:44:01.298860,0 days 00:00:01.412760,54.51033137266946,extensive,final,ridge,pca_only,True,COMPLETE
26,-3510.5587216874596,2025-12-08 12:44:01.299860,2025-12-08 12:44:02.711915,0 days 00:00:01.412055,353.10617884363415,extensive,final,ridge,pca_only,True,COMPLETE
