number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 13:19:27.495253,2025-12-08 13:19:35.928784,0 days 00:00:08.433531,0.5328776314926116,0.008604560485911836,4,7,673,2.0983594999191597,4.004936853674994,0.6358127725806009,extensive,final,xgb,,False,COMPLETE
1,-0.001635023666554029,2025-12-08 13:19:35.928784,2025-12-08 13:20:04.813000,0 days 00:00:28.884216,0.8762721041185366,0.008710003540320053,4,16,3008,1.9270550916950935,4.269997084677227,0.4080508891378973,extensive,final,xgb,,False,COMPLETE
2,-0.0016559721404409238,2025-12-08 13:20:04.813574,2025-12-08 13:20:15.081392,0 days 00:00:10.267818,0.48883548198079685,0.012822438331023945,3,10,933,2.060004382449942,0.13072842226814912,0.7351678307360356,extensive,final,xgb,,False,COMPLETE
3,-0.0016559721404409238,2025-12-08 13:20:15.082392,2025-12-08 13:20:30.482019,0 days 00:00:15.399627,0.6388183974025912,0.003224966324039427,7,6,1505,2.030812602338201,0.2904976560832559,0.8538823367745088,extensive,final,xgb,,False,COMPLETE
4,-0.0382015306142478,2025-12-08 13:20:30.482019,2025-12-08 13:25:37.334596,0 days 00:05:06.852577,0.6227221346113072,0.004700555900189133,10,6,1964,0.18088074785338581,0.24403001792563017,0.4838287713180779,extensive,final,xgb,,False,COMPLETE
5,-0.0016042653037448007,2025-12-08 13:25:37.334596,2025-12-08 13:25:48.450425,0 days 00:00:11.115829,0.6010773850031788,0.0016566727524244208,3,6,554,1.2712014705839731,12.276250354661366,0.8251135609560707,extensive,final,xgb,,False,COMPLETE
6,-0.03385704551395471,2025-12-08 13:25:48.451190,2025-12-08 13:26:47.354498,0 days 00:00:58.903308,0.3724081231029882,0.005124739707593813,3,9,3572,0.5798670496498753,3.4208711692361105,0.5738544629406849,extensive,final,xgb,,False,COMPLETE
7,-0.0016559721404409238,2025-12-08 13:26:47.354498,2025-12-08 13:27:17.172512,0 days 00:00:29.818014,0.7039992741869806,0.006190451569575014,3,16,3077,3.8179351168704074,10.873898799706481,0.6497544834068485,extensive,final,xgb,,False,COMPLETE
8,-0.0016559721404409238,2025-12-08 13:27:17.174674,2025-12-08 13:27:40.355711,0 days 00:00:23.181037,0.7415292777969582,0.01389637410897327,4,20,2232,3.583969632308267,0.1848685237328783,0.7397998279667426,extensive,final,xgb,,False,COMPLETE
9,-0.0016559721404409238,2025-12-08 13:27:40.355711,2025-12-08 13:27:55.942752,0 days 00:00:15.587041,0.411646181881785,0.0023147276896696503,4,5,1410,4.0178453181336895,0.16198629839111878,0.4938116268041293,extensive,final,xgb,,False,COMPLETE
10,-0.0017961154049948396,2025-12-08 13:27:55.944271,2025-12-08 13:28:16.791122,0 days 00:00:20.846851,0.3078588543141793,0.0012483181206997438,7,1,605,0.9191190917127203,19.18376027243427,0.8943531199604812,extensive,final,xgb,,False,COMPLETE
11,-0.0024049417192250435,2025-12-08 13:28:16.791122,2025-12-08 13:28:44.514852,0 days 00:00:27.723730,0.887193350437991,0.03843280765386935,6,14,2778,1.3806061519880966,5.462517030918096,0.3244053370882054,extensive,final,xgb,,False,COMPLETE
12,-0.0016559721404409238,2025-12-08 13:28:44.515864,2025-12-08 13:29:18.930260,0 days 00:00:34.414396,0.8686026861433276,0.0012412344982370746,5,14,3653,2.752403834965785,0.9697002434597067,0.30203470524144005,extensive,final,xgb,,False,COMPLETE
13,-0.0016559721404409238,2025-12-08 13:29:18.930260,2025-12-08 13:29:24.166241,0 days 00:00:05.235981,0.7847380490585253,0.017985885504054184,9,20,226,4.970924319466738,1.6559374442837944,0.4027545974529348,extensive,final,xgb,,False,COMPLETE
14,-0.0029256392029133327,2025-12-08 13:29:24.168243,2025-12-08 13:30:11.184317,0 days 00:00:47.016074,0.813518645907287,0.0022936854559103713,5,2,2725,1.2981884530211305,7.736062863697167,0.7941795908422539,extensive,final,xgb,,False,COMPLETE
15,-0.0016559721404409238,2025-12-08 13:30:11.185209,2025-12-08 13:30:45.249868,0 days 00:00:34.064659,0.5441837302765062,0.019973695818512233,5,13,3940,2.7562131942681747,1.5928584795225826,0.541520195134523,extensive,final,xgb,,False,COMPLETE
16,-0.001680257176880362,2025-12-08 13:30:45.251233,2025-12-08 13:31:08.172807,0 days 00:00:22.921574,0.6879567337022225,0.042245653482661155,8,17,2155,1.4665416155473285,15.893153769956436,0.41066375314244735,extensive,final,xgb,,False,COMPLETE
17,-0.0016559721404409238,2025-12-08 13:31:08.174589,2025-12-08 13:31:34.538598,0 days 00:00:26.364009,0.47321904588117936,0.009006295584923347,6,12,3096,3.0864916442246786,2.81176887454233,0.685167848237194,extensive,final,xgb,,False,COMPLETE
18,-0.02165991025802601,2025-12-08 13:31:34.539596,2025-12-08 13:32:36.021487,0 days 00:01:01.481891,0.8174501626907902,0.0031927885775320103,4,3,1449,0.17621745711978543,0.9288320751269745,0.39916252005385866,extensive,final,xgb,,False,COMPLETE
19,-0.0016560712988786808,2025-12-08 13:32:36.021487,2025-12-08 13:32:58.592996,0 days 00:00:22.571509,0.5773669288123603,0.0010433174853766356,3,17,2489,1.862635191724098,9.248166419173039,0.8195546514262796,extensive,final,xgb,,False,COMPLETE
20,-0.005200741453073181,2025-12-08 13:32:58.592996,2025-12-08 13:33:52.696192,0 days 00:00:54.103196,0.7587774518025961,0.0019412617204662952,5,9,1862,0.8196815143300131,0.4115352449993733,0.4848795757346306,extensive,final,xgb,,False,COMPLETE
