number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 16:11:40.655522,2025-12-08 16:11:47.168400,0 days 00:00:06.512878,0.6020823534017046,0.04166989912099512,9,15,1508,4.683155615575317,5.366464677427611,0.800772927838773,extensive,final,xgb,pca_block,True,COMPLETE
1,-0.0016559721404409238,2025-12-08 16:11:47.169715,2025-12-08 16:11:59.020533,0 days 00:00:11.850818,0.4138272870779177,0.009475950801993375,10,4,2904,4.595482388411757,17.253436182994477,0.8323501161587945,extensive,final,xgb,pca_block,True,COMPLETE
2,-0.0016559721404409238,2025-12-08 16:11:59.020533,2025-12-08 16:12:12.888831,0 days 00:00:13.868298,0.5959473373179347,0.0399376635784816,4,16,3332,4.971939654522174,5.3060068438101995,0.3310647650979954,extensive,final,xgb,pca_block,True,COMPLETE
3,-0.0016559721404409238,2025-12-08 16:12:12.889831,2025-12-08 16:12:15.512087,0 days 00:00:02.622256,0.5037669368381341,0.0012971458896561803,5,15,427,3.9643865831288583,1.4975113759832268,0.598951517940844,extensive,final,xgb,pca_block,True,COMPLETE
4,-0.0016559721404409238,2025-12-08 16:12:15.513203,2025-12-08 16:12:18.222439,0 days 00:00:02.709236,0.43525256868254264,0.0011061014577030638,6,1,457,2.5242615999653237,0.18769451020678957,0.3501048984809644,extensive,final,xgb,pca_block,True,COMPLETE
5,-0.0016559721404409238,2025-12-08 16:12:18.222439,2025-12-08 16:12:23.953290,0 days 00:00:05.730851,0.33645732756945274,0.005687278776621574,5,1,1213,1.8137067146506318,3.3192178761355318,0.3009235443211129,extensive,final,xgb,pca_block,True,COMPLETE
6,-0.0016559721404409238,2025-12-08 16:12:23.954293,2025-12-08 16:12:28.685632,0 days 00:00:04.731339,0.7632118868133031,0.004675197315276553,7,18,953,3.3226563986510027,6.406472388602403,0.3768852533932671,extensive,final,xgb,pca_block,True,COMPLETE
7,-0.0016559721404409238,2025-12-08 16:12:28.686632,2025-12-08 16:12:30.659320,0 days 00:00:01.972688,0.4871566248515279,0.0029232844255834807,9,13,278,3.349273467734466,6.862111244946111,0.4688014954113585,extensive,final,xgb,pca_block,True,COMPLETE
8,-0.0016473885214844202,2025-12-08 16:12:30.659320,2025-12-08 16:12:36.324460,0 days 00:00:05.665140,0.5031479747303971,0.0023037879491068698,3,13,1112,1.2113198559475742,0.2601417144292797,0.40010549609899343,extensive,final,xgb,pca_block,True,COMPLETE
9,-0.0016559721404409238,2025-12-08 16:12:36.325660,2025-12-08 16:12:42.666420,0 days 00:00:06.340760,0.6286364859244585,0.002375342088421804,10,11,1444,1.9094373110095937,4.5285747114301484,0.34981606207868243,extensive,final,xgb,pca_block,True,COMPLETE
10,-0.09815786729363762,2025-12-08 16:12:42.666420,2025-12-08 16:12:57.884596,0 days 00:00:15.218176,0.8812963835001366,0.016252478799021607,3,8,2280,0.3523878421136508,0.14488759053948122,0.5356373324270495,extensive,final,xgb,pca_block,True,COMPLETE
11,-0.027432698352656937,2025-12-08 16:12:57.884596,2025-12-08 16:13:09.792162,0 days 00:00:11.907566,0.6021818648300916,0.04744524291079855,8,19,1999,0.6366365819716745,0.5622386882714558,0.7681638977203386,extensive,final,xgb,pca_block,True,COMPLETE
