number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 15:31:50.014248,2025-12-08 15:31:51.591726,0 days 00:00:01.577478,0.3996346305373394,0.009709753623514748,4,6,393,3.8758017457789857,0.1990061137240173,0.43543073260398135,extensive,final,xgb,pca_hybrid,True,COMPLETE
1,-0.0016559721404409238,2025-12-08 15:31:51.591726,2025-12-08 15:31:56.154628,0 days 00:00:04.562902,0.5195723657272657,0.00258739255257071,5,13,1082,3.2655103752107904,5.690087277130285,0.43560931519258483,extensive,final,xgb,pca_hybrid,True,COMPLETE
2,-0.0016559721404409238,2025-12-08 15:31:56.157851,2025-12-08 15:32:03.618127,0 days 00:00:07.460276,0.7679477999302488,0.0024652382455032937,7,18,1903,3.091158914658154,8.749323912651423,0.7525763883700705,extensive,final,xgb,pca_hybrid,True,COMPLETE
3,-0.0016559721404409238,2025-12-08 15:32:03.618127,2025-12-08 15:32:13.823661,0 days 00:00:10.205534,0.7624564133668204,0.005823819529294945,9,12,2629,4.059897696894276,18.986949242773942,0.5985080106477414,extensive,final,xgb,pca_hybrid,True,COMPLETE
4,-0.0016559721404409238,2025-12-08 15:32:13.825216,2025-12-08 15:32:15.355448,0 days 00:00:01.530232,0.48699645650158674,0.025091950948494993,5,12,309,4.584748795609054,4.414852844330681,0.6237920308036617,extensive,final,xgb,pca_hybrid,True,COMPLETE
5,-0.0016559721404409238,2025-12-08 15:32:15.355448,2025-12-08 15:32:28.631310,0 days 00:00:13.275862,0.8249710974564441,0.045935112430082706,9,14,3345,2.341252950508847,1.370991730519184,0.35185054814039163,extensive,final,xgb,pca_hybrid,True,COMPLETE
6,-0.0016559721404409238,2025-12-08 15:32:28.632506,2025-12-08 15:32:36.563274,0 days 00:00:07.930768,0.31012350401980004,0.003013214383598957,3,4,2010,2.231745026243768,0.3518541834882824,0.6742252555947567,extensive,final,xgb,pca_hybrid,True,COMPLETE
7,-0.008742265043035435,2025-12-08 15:32:36.569801,2025-12-08 15:32:50.324732,0 days 00:00:13.754931,0.710815362890587,0.004252905052752001,5,14,1397,0.20040344992695303,14.372172789897784,0.6056757322306761,extensive,final,xgb,pca_hybrid,True,COMPLETE
8,-0.0016559721404409238,2025-12-08 15:32:50.324732,2025-12-08 15:32:59.985999,0 days 00:00:09.661267,0.553345021273336,0.004465509103918388,6,3,2474,1.8976250880615297,10.527671175231022,0.8789788526596016,extensive,final,xgb,pca_hybrid,True,COMPLETE
9,-0.0016559721404409238,2025-12-08 15:32:59.987691,2025-12-08 15:33:12.020831,0 days 00:00:12.033140,0.37525350822084924,0.03200628141931762,10,19,3081,2.32660737021906,7.18529871184867,0.8324303273466296,extensive,final,xgb,pca_hybrid,True,COMPLETE
10,-0.0016559721404409238,2025-12-08 15:33:12.020831,2025-12-08 15:33:27.359202,0 days 00:00:15.338371,0.41526521612101275,0.011237562440628929,3,7,3997,4.951759126860469,0.19148838635418336,0.4683541983030083,extensive,final,xgb,pca_hybrid,True,COMPLETE
11,-0.0016559721404409238,2025-12-08 15:33:27.359202,2025-12-08 15:33:28.877696,0 days 00:00:01.518494,0.605194233068473,0.0010139025458625471,4,8,320,3.5887081869546154,1.699271035905909,0.41898929591008527,extensive,final,xgb,pca_hybrid,True,COMPLETE
12,-0.0016559721404409238,2025-12-08 15:33:28.877696,2025-12-08 15:33:33.209382,0 days 00:00:04.331686,0.49371561137690667,0.011297568810233681,7,8,971,3.3548950439309126,0.5964970221060907,0.4978905723450287,extensive,final,xgb,pca_hybrid,True,COMPLETE
13,-0.0016604658638540808,2025-12-08 15:33:33.210386,2025-12-08 15:33:37.392174,0 days 00:00:04.181788,0.6006895339916472,0.001495402220821709,5,1,988,1.2314636878925413,2.6686137813962456,0.3118791141026764,extensive,final,xgb,pca_hybrid,True,COMPLETE
14,-0.0016559721404409238,2025-12-08 15:33:37.392174,2025-12-08 15:33:41.360190,0 days 00:00:03.968016,0.4290679128259919,0.010033136508257746,4,6,938,4.003756812831821,0.1137484452561177,0.5131720361085158,extensive,final,xgb,pca_hybrid,True,COMPLETE
15,-0.0016559721404409238,2025-12-08 15:33:41.360190,2025-12-08 15:33:47.458745,0 days 00:00:06.098555,0.34963250557684855,0.017182744492808467,6,16,1529,2.9778007272259974,0.6285378620949643,0.3953544216607252,extensive,final,xgb,pca_hybrid,True,COMPLETE
16,-0.0016559721404409238,2025-12-08 15:33:47.458745,2025-12-08 15:33:50.440394,0 days 00:00:02.981649,0.6630833726359642,0.0021730876498150223,4,10,704,4.069467494556976,3.6486846413939524,0.534131684418318,extensive,final,xgb,pca_hybrid,True,COMPLETE
17,-0.0016559721404409238,2025-12-08 15:33:50.440394,2025-12-08 15:33:56.393214,0 days 00:00:05.952820,0.5016521977340029,0.006745043755165506,8,10,1473,2.8624997905462948,1.0368234029536805,0.429204635760226,extensive,final,xgb,pca_hybrid,True,COMPLETE
18,-0.0016559312822772565,2025-12-08 15:33:56.393214,2025-12-08 15:33:58.895493,0 days 00:00:02.502279,0.4537070137133609,0.018272465937509086,3,16,586,1.4180974803978281,0.25157965129781246,0.31121316129800425,extensive,final,xgb,pca_hybrid,True,COMPLETE
19,-0.001715399339149067,2025-12-08 15:33:58.895493,2025-12-08 15:34:01.297709,0 days 00:00:02.402216,0.43913263307972017,0.017318895365970578,3,17,538,1.2710665629209141,0.24092071410479984,0.3038769736077833,extensive,final,xgb,pca_hybrid,True,COMPLETE
20,-0.01827753882705248,2025-12-08 15:34:01.298788,2025-12-08 15:34:04.006123,0 days 00:00:02.707335,0.30933753077152265,0.017774257068857383,4,20,288,0.10729677267952509,0.1095144165647308,0.3665517928953707,extensive,final,xgb,pca_hybrid,True,COMPLETE
21,-0.0016595505656589182,2025-12-08 15:34:04.006123,2025-12-08 15:34:08.974217,0 days 00:00:04.968094,0.5449657435765429,0.008315364687756488,5,15,1212,1.570626409097187,0.44169954820009977,0.4570515871208194,extensive,final,xgb,pca_hybrid,True,COMPLETE
22,-0.0016559721404409238,2025-12-08 15:34:08.975363,2025-12-08 15:34:11.897254,0 days 00:00:02.921891,0.38289091698935335,0.024100910337957665,3,13,692,3.6468335677636516,0.1981237608044175,0.352959196007169,extensive,final,xgb,pca_hybrid,True,COMPLETE
23,-0.0023878202945103086,2025-12-08 15:34:11.897803,2025-12-08 15:34:19.115890,0 days 00:00:07.218087,0.4788565964343221,0.004519745469874725,4,11,1677,0.9969507420569437,0.2934557824209756,0.546877597946203,extensive,final,xgb,pca_hybrid,True,COMPLETE
24,-0.0016559721404409238,2025-12-08 15:34:19.115890,2025-12-08 15:34:21.959761,0 days 00:00:02.843871,0.4435933010996288,0.001564712176574348,6,5,671,2.7769204467186652,0.7483627551367946,0.39239771803680457,extensive,final,xgb,pca_hybrid,True,COMPLETE
25,-0.008337465664270368,2025-12-08 15:34:21.960883,2025-12-08 15:34:27.410317,0 days 00:00:05.449434,0.532789817402797,0.0491904539695032,5,17,1185,0.8152564314045049,0.15665663589472756,0.4593511799344558,extensive,final,xgb,pca_hybrid,True,COMPLETE
26,-0.0016559721404409238,2025-12-08 15:34:27.410317,2025-12-08 15:34:29.914452,0 days 00:00:02.504135,0.6311565470580791,0.012346829238955226,3,15,554,1.8601080254156,0.4242611311523212,0.3163805848270586,extensive,final,xgb,pca_hybrid,True,COMPLETE
27,-0.0016559721404409238,2025-12-08 15:34:29.914956,2025-12-08 15:34:33.594273,0 days 00:00:03.679317,0.3871189857435362,0.0081152063001577,4,9,899,4.477265017344287,2.0231693883811785,0.56044791341874,extensive,final,xgb,pca_hybrid,True,COMPLETE
28,-0.0016559721404409238,2025-12-08 15:34:33.594273,2025-12-08 15:34:35.025072,0 days 00:00:01.430799,0.8822517504563924,0.014639151976938092,6,1,207,3.44437837568945,5.173033554765781,0.7033129626951302,extensive,final,xgb,pca_hybrid,True,COMPLETE
29,-0.0024331375697154898,2025-12-08 15:34:35.025072,2025-12-08 15:34:48.444275,0 days 00:00:13.419203,0.5713325292992868,0.003478081474799521,7,18,1772,0.5199123102260432,1.0017249259103589,0.36847987719271735,extensive,final,xgb,pca_hybrid,True,COMPLETE
30,-0.0016559721404409238,2025-12-08 15:34:48.444275,2025-12-08 15:34:56.864176,0 days 00:00:08.419901,0.45846457569286375,0.0022696418090190095,3,12,2161,2.6314969969202773,0.15079665568151338,0.4239980302151699,extensive,final,xgb,pca_hybrid,True,COMPLETE
31,-0.0016559721404409238,2025-12-08 15:34:56.865177,2025-12-08 15:35:06.833588,0 days 00:00:09.968411,0.7503319691428683,0.006488632455568553,8,20,2561,3.069439791432774,16.373515833122823,0.7816495944117315,extensive,final,xgb,pca_hybrid,True,COMPLETE
32,-0.0016559721404409238,2025-12-08 15:35:06.834694,2025-12-08 15:35:15.494432,0 days 00:00:08.659738,0.8141975359751936,0.0030450885875808265,7,17,2197,3.9563951923795067,7.831670740246503,0.7420441155556586,extensive,final,xgb,pca_hybrid,True,COMPLETE
33,-0.0016559721404409238,2025-12-08 15:35:15.494432,2025-12-08 15:35:20.634403,0 days 00:00:05.139971,0.6858958843598145,0.002016123522572093,8,12,1273,3.1841126828041024,5.788105183609759,0.6302802252500375,extensive,final,xgb,pca_hybrid,True,COMPLETE
34,-0.0016559721404409238,2025-12-08 15:35:20.634403,2025-12-08 15:35:32.317936,0 days 00:00:11.683533,0.5097293993403756,0.033455022839269655,5,14,3020,4.411991315568037,10.594779527271944,0.655656717227164,extensive,final,xgb,pca_hybrid,True,COMPLETE
35,-0.0016559721404409238,2025-12-08 15:35:32.319038,2025-12-08 15:35:39.541693,0 days 00:00:07.222655,0.773656375151483,0.0013988900384343888,9,18,1789,3.7457313715454585,11.600723147922698,0.5834586211122506,extensive,final,xgb,pca_hybrid,True,COMPLETE
36,-0.0016559721404409238,2025-12-08 15:35:39.541693,2025-12-08 15:35:47.446785,0 days 00:00:07.905092,0.34248704965636756,0.005388541388905237,5,15,2004,2.0389029992419028,3.4412421449673682,0.7220844992578086,extensive,final,xgb,pca_hybrid,True,COMPLETE
37,-0.0016559721404409238,2025-12-08 15:35:47.446785,2025-12-08 15:35:49.351295,0 days 00:00:01.904510,0.876873688426779,0.022837670915318322,4,13,450,2.509931805424687,7.776203798838667,0.798011158126762,extensive,final,xgb,pca_hybrid,True,COMPLETE
38,-0.0016559721404409238,2025-12-08 15:35:49.351295,2025-12-08 15:35:52.767329,0 days 00:00:03.416034,0.47294900349169583,0.0025663868803245168,6,19,801,4.212564168884997,17.517088071792354,0.8798681272698934,extensive,final,xgb,pca_hybrid,True,COMPLETE
39,-0.0016559721404409238,2025-12-08 15:35:52.768912,2025-12-08 15:36:02.153512,0 days 00:00:09.384600,0.4086107974999045,0.003846008027057612,7,16,2396,4.918877283744349,2.26752138644574,0.48472541925532125,extensive,final,xgb,pca_hybrid,True,COMPLETE
40,-0.0016559721404409238,2025-12-08 15:36:02.154655,2025-12-08 15:36:12.948378,0 days 00:00:10.793723,0.5751036279390274,0.00528608784346268,3,4,2765,3.266851874588042,1.3330669367935983,0.3294788236184528,extensive,final,xgb,pca_hybrid,True,COMPLETE
41,-0.0016559721404409238,2025-12-08 15:36:12.948378,2025-12-08 15:36:23.591584,0 days 00:00:10.643206,0.7417952197914137,0.030472030501187585,10,13,2696,3.5095197754661576,13.102672043035641,0.6095776637961811,extensive,final,xgb,pca_hybrid,True,COMPLETE
42,-0.0016559721404409238,2025-12-08 15:36:23.591584,2025-12-08 15:36:36.669268,0 days 00:00:13.077684,0.8349825101340869,0.00292119164254599,9,11,3413,3.7955699969478305,8.61896458380757,0.6695440893842506,extensive,final,xgb,pca_hybrid,True,COMPLETE
43,-0.0016559721404409238,2025-12-08 15:36:36.669268,2025-12-08 15:36:41.141564,0 days 00:00:04.472296,0.7125618283174923,0.009855307576591902,10,14,1065,2.215771891734797,18.773695670712016,0.5790487213070639,extensive,final,xgb,pca_hybrid,True,COMPLETE
44,-0.0016559721404409238,2025-12-08 15:36:41.142580,2025-12-08 15:36:54.623126,0 days 00:00:13.480546,0.8027136943058197,0.0010963990107130126,9,9,3495,4.7394089727302795,5.335395889910706,0.8460937207982626,extensive,final,xgb,pca_hybrid,True,COMPLETE
45,-0.0016559721404409238,2025-12-08 15:36:54.624132,2025-12-08 15:37:06.333603,0 days 00:00:11.709471,0.6321272589842819,0.0018934471074450693,8,6,3022,4.125219378237874,3.733990270866227,0.5177072317070285,extensive,final,xgb,pca_hybrid,True,COMPLETE
46,-0.0016559721404409238,2025-12-08 15:37:06.333603,2025-12-08 15:37:08.079147,0 days 00:00:01.745544,0.8509733107587486,0.013976788727351442,5,12,441,4.247753916778125,14.374863421057261,0.3875978205250711,extensive,final,xgb,pca_hybrid,True,COMPLETE
47,-0.0016559721404409238,2025-12-08 15:37:08.079147,2025-12-08 15:37:22.740755,0 days 00:00:14.661608,0.7713441215998478,0.004512779398617686,4,8,3781,3.7812614916605227,9.825312089283608,0.439428664386672,extensive,final,xgb,pca_hybrid,True,COMPLETE
48,-0.0016559721404409238,2025-12-08 15:37:22.741763,2025-12-08 15:37:30.620550,0 days 00:00:07.878787,0.34604749883451497,0.005788042224762419,9,16,2003,2.919885798402882,6.721161415460528,0.4873583499926668,extensive,final,xgb,pca_hybrid,True,COMPLETE
49,-0.0016559721404409238,2025-12-08 15:37:30.621556,2025-12-08 15:37:39.674712,0 days 00:00:09.053156,0.4080949801335649,0.007920806062420616,3,18,2341,3.286936069847678,0.34566467409988877,0.6344701916998503,extensive,final,xgb,pca_hybrid,True,COMPLETE
50,-0.0016559721404409238,2025-12-08 15:37:39.676480,2025-12-08 15:37:45.455056,0 days 00:00:05.778576,0.7049463740280213,0.009403230119478053,4,2,1410,2.707932208095148,0.23533832192004808,0.6984288890516457,extensive,final,xgb,pca_hybrid,True,COMPLETE
