number,value,datetime_start,datetime_complete,duration,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_use_PCA,state
0,-0.0016559721404409238,2025-12-08 14:28:23.052357,2025-12-08 14:28:27.696299,0 days 00:00:04.643942,0.612172248578357,0.03139947386957768,9,15,1061,4.727370159022274,0.14880655337216703,0.8606325371099854,extensive,final,xgb,pca_only,True,COMPLETE
1,-0.009038197355772567,2025-12-08 14:28:27.697492,2025-12-08 14:28:33.648498,0 days 00:00:05.951006,0.4891398371042933,0.04352587329565743,6,7,699,0.3669062838251985,0.19235405117557405,0.808253022563445,extensive,final,xgb,pca_only,True,COMPLETE
2,-0.0034832734908383975,2025-12-08 14:28:33.648498,2025-12-08 14:28:40.974973,0 days 00:00:07.326475,0.6742285121500309,0.0050165289416171455,5,8,1135,0.6178822542030904,0.9430558535918554,0.8361146557783983,extensive,final,xgb,pca_only,True,COMPLETE
3,-0.0016801615615558152,2025-12-08 14:28:40.976117,2025-12-08 14:28:49.349900,0 days 00:00:08.373783,0.6359480993399313,0.0017192459142599684,10,3,1795,1.1009029430409034,0.18584112556060878,0.6191223459579924,extensive,final,xgb,pca_only,True,COMPLETE
4,-0.0016559721404409238,2025-12-08 14:28:49.349900,2025-12-08 14:29:04.863496,0 days 00:00:15.513596,0.585908505012555,0.012003199269093505,7,14,3963,2.7788475120887943,0.6446503410119646,0.7099157165899502,extensive,final,xgb,pca_only,True,COMPLETE
5,-0.0021120669647327617,2025-12-08 14:29:04.863496,2025-12-08 14:29:15.714187,0 days 00:00:10.850691,0.5639952184145041,0.005595497721123108,6,9,2451,1.0438680463331007,18.82631495221899,0.7710883316909964,extensive,final,xgb,pca_only,True,COMPLETE
6,-0.0016559721404409238,2025-12-08 14:29:15.714187,2025-12-08 14:29:21.783971,0 days 00:00:06.069784,0.8986653833043168,0.0026792816834792493,8,14,1517,2.508521019062109,18.01498023857786,0.6278795662732977,extensive,final,xgb,pca_only,True,COMPLETE
7,-0.0034842319614452055,2025-12-08 14:29:21.784483,2025-12-08 14:29:53.901289,0 days 00:00:32.116806,0.8589463420433074,0.0018845120650581883,10,19,2502,0.36884040308858557,1.8911189242128934,0.7059622477686132,extensive,final,xgb,pca_only,True,COMPLETE
8,-0.0016559721404409238,2025-12-08 14:29:53.901289,2025-12-08 14:30:05.476766,0 days 00:00:11.575477,0.6112596263896615,0.03944634478868173,10,13,2981,4.716770393297448,17.35328873737006,0.4310673785685413,extensive,final,xgb,pca_only,True,COMPLETE
9,-0.0016559721404409238,2025-12-08 14:30:05.476766,2025-12-08 14:30:13.120547,0 days 00:00:07.643781,0.6366780250738981,0.04184666409608255,10,9,1920,2.9583556776821784,0.6002648913534808,0.3557976038108215,extensive,final,xgb,pca_only,True,COMPLETE
10,-0.0016559721404409238,2025-12-08 14:30:13.120547,2025-12-08 14:30:15.138690,0 days 00:00:02.018143,0.30466008009411366,0.016190473590887818,3,20,513,4.895003089582181,0.10617463073905763,0.8991369260889468,extensive,final,xgb,pca_only,True,COMPLETE
11,-0.0016559721404409238,2025-12-08 14:30:15.138690,2025-12-08 14:30:29.731204,0 days 00:00:14.592514,0.47332110823403317,0.015210498743525916,8,16,3748,3.602446939384954,2.6749074842322784,0.7108066873879104,extensive,final,xgb,pca_only,True,COMPLETE
12,-0.0016559721404409238,2025-12-08 14:30:29.731204,2025-12-08 14:30:43.971283,0 days 00:00:14.240079,0.7707598763323746,0.013405130731148567,8,16,3692,4.055570821776966,0.4089885621329655,0.5034861980384051,extensive,final,xgb,pca_only,True,COMPLETE
13,-0.0016559721404409238,2025-12-08 14:30:43.972366,2025-12-08 14:30:45.428154,0 days 00:00:01.455788,0.4882546464441241,0.022109418689221477,8,12,230,2.081470009590908,3.6617161776485303,0.8951347826740244,extensive,final,xgb,pca_only,True,COMPLETE
14,-0.0016559721404409238,2025-12-08 14:30:45.429351,2025-12-08 14:30:57.913937,0 days 00:00:12.484586,0.7295776883377956,0.010167240482675631,7,17,3131,3.6352232370335247,0.4049963895253874,0.7044217280258983,extensive,final,xgb,pca_only,True,COMPLETE
15,-0.0016559721404409238,2025-12-08 14:30:57.913937,2025-12-08 14:31:02.493027,0 days 00:00:04.579090,0.3870405979579013,0.02583466782320566,4,1,1156,2.098125387012834,0.10947427425285304,0.5416849508675872,extensive,final,xgb,pca_only,True,COMPLETE
16,-0.0016559721404409238,2025-12-08 14:31:02.495033,2025-12-08 14:31:14.400988,0 days 00:00:11.905955,0.5699949879925965,0.007784485762249888,9,14,3103,4.309540081944022,5.518580909928076,0.7584200038941039,extensive,final,xgb,pca_only,True,COMPLETE
17,-0.0016559721404409238,2025-12-08 14:31:14.405190,2025-12-08 14:31:23.739263,0 days 00:00:09.334073,0.73336897956724,0.02669412004733315,7,11,2376,3.065054531684862,0.9069304191074592,0.8301935518633257,extensive,final,xgb,pca_only,True,COMPLETE
18,-0.0016559721404409238,2025-12-08 14:31:23.740287,2025-12-08 14:31:28.824890,0 days 00:00:05.084603,0.5284722880110819,0.004300959547569525,9,18,1233,1.9150763096223762,0.26501218071590105,0.6467213483589587,extensive,final,xgb,pca_only,True,COMPLETE
19,-0.0016996531947717959,2025-12-08 14:31:28.824890,2025-12-08 14:31:43.887489,0 days 00:00:15.062599,0.4140540716577874,0.009161686852295448,5,5,3880,1.455609782469234,0.8334090937410058,0.5332970300941992,extensive,final,xgb,pca_only,True,COMPLETE
