number,value,datetime_start,datetime_complete,duration,params_enet_alpha,params_enet_l1_ratio,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-0.14816519218547708,2025-12-08 19:46:02.682547,2025-12-08 19:46:08.523106,0 days 00:00:05.840559,1.1106132875285903e-05,0.538511085429317,24,extensive,final,elastic,,24,False,COMPLETE
1,-0.0012615299666745461,2025-12-08 19:46:08.523106,2025-12-08 19:46:14.390992,0 days 00:00:05.867886,0.007854324846884492,0.4114385396446507,24,extensive,final,elastic,,24,False,COMPLETE
2,-0.004081552634459129,2025-12-08 19:46:14.390992,2025-12-08 19:46:20.244113,0 days 00:00:05.853121,0.0007568338851562526,0.9051176787467266,7,extensive,final,elastic,,7,False,COMPLETE
3,0.0019628424259375164,2025-12-08 19:46:20.244113,2025-12-08 19:46:25.932805,0 days 00:00:05.688692,0.002618162367784102,0.15532930784955612,5,extensive,final,elastic,,5,False,COMPLETE
4,-3.388863923971195,2025-12-08 19:46:25.932805,2025-12-08 19:46:33.526079,0 days 00:00:07.593274,3.6683614666410036e-05,0.6166847957572059,61,extensive,final,elastic,,61,False,COMPLETE
5,-3.628502925818843,2025-12-08 19:46:33.526079,2025-12-08 19:46:43.682365,0 days 00:00:10.156286,3.9186398767475706e-05,0.9838480757761974,79,extensive,final,elastic,,79,False,COMPLETE
6,-0.0012615299666745461,2025-12-08 19:46:43.689004,2025-12-08 19:46:49.363562,0 days 00:00:05.674558,0.017615244238593654,0.6264191771049246,12,extensive,final,elastic,,12,False,COMPLETE
7,-0.0012615299666745461,2025-12-08 19:46:49.363562,2025-12-08 19:46:55.071342,0 days 00:00:05.707780,0.02508024382988927,0.9879683833572229,13,extensive,final,elastic,,13,False,COMPLETE
8,-3.102949074049417,2025-12-08 19:46:55.071342,2025-12-08 19:47:04.973009,0 days 00:00:09.901667,0.00024812248650953267,0.13876748851939547,77,extensive,final,elastic,,77,False,COMPLETE
9,-0.0012615299666745461,2025-12-08 19:47:04.973009,2025-12-08 19:47:10.849237,0 days 00:00:05.876228,0.011893362684772204,0.5883382061164418,28,extensive,final,elastic,,28,False,COMPLETE
10,-0.005268531401219012,2025-12-08 19:47:10.849237,2025-12-08 19:47:17.371333,0 days 00:00:06.522096,0.09496481665315147,0.006172427562298105,46,extensive,final,elastic,,46,False,COMPLETE
11,-0.0010563308654921277,2025-12-08 19:47:17.371333,2025-12-08 19:47:23.032479,0 days 00:00:05.661146,0.0026342795866471074,0.2861039620394895,2,extensive,final,elastic,,2,False,COMPLETE
12,0.0013104383960620193,2025-12-08 19:47:23.032479,2025-12-08 19:47:28.699212,0 days 00:00:05.666733,0.0018360579328912904,0.2692127323331909,3,extensive,final,elastic,,3,False,COMPLETE
13,-0.14776425081051586,2025-12-08 19:47:28.699212,2025-12-08 19:47:34.869239,0 days 00:00:06.170027,0.0009479431875854061,0.2500859661845187,38,extensive,final,elastic,,38,False,COMPLETE
14,0.001850462916568829,2025-12-08 19:47:34.869239,2025-12-08 19:47:40.532638,0 days 00:00:05.663399,0.000252257040428856,0.0066352133243278155,1,extensive,final,elastic,,1,False,COMPLETE
15,-0.09981174199179385,2025-12-08 19:47:40.532638,2025-12-08 19:47:46.282846,0 days 00:00:05.750208,0.00020338772220491747,0.023581843244251378,16,extensive,final,elastic,,16,False,COMPLETE
16,-2.8232296804312655,2025-12-08 19:47:46.282846,2025-12-08 19:47:52.873873,0 days 00:00:06.591027,0.0002196559781278948,0.1355654318935259,47,extensive,final,elastic,,47,False,COMPLETE
17,-0.0012615299666745461,2025-12-08 19:47:52.873873,2025-12-08 19:47:58.871123,0 days 00:00:05.997250,0.004733815591103099,0.4058170504016143,34,extensive,final,elastic,,34,False,COMPLETE
18,-0.09705163035876649,2025-12-08 19:47:58.871123,2025-12-08 19:48:04.615738,0 days 00:00:05.744615,8.0280310631454e-05,0.1330455433223302,19,extensive,final,elastic,,19,False,COMPLETE
19,0.0017665933376218134,2025-12-08 19:48:04.615738,2025-12-08 19:48:10.222299,0 days 00:00:05.606561,0.0004626259490028052,0.8004112375268606,1,extensive,final,elastic,,1,False,COMPLETE
20,-0.0012615299666745461,2025-12-08 19:48:10.227864,2025-12-08 19:48:17.649252,0 days 00:00:07.421388,0.041946366929115214,0.09263679300569158,59,extensive,final,elastic,,59,False,COMPLETE
21,0.0015654207605628745,2025-12-08 19:48:17.649252,2025-12-08 19:48:23.261671,0 days 00:00:05.612419,0.0005407264197840455,0.7698311293934339,1,extensive,final,elastic,,1,False,COMPLETE
22,-0.01741411881638948,2025-12-08 19:48:23.261671,2025-12-08 19:48:28.932774,0 days 00:00:05.671103,0.00048494219634797074,0.7520967009111433,9,extensive,final,elastic,,9,False,COMPLETE
23,-0.0026165575359765603,2025-12-08 19:48:28.932774,2025-12-08 19:48:34.573964,0 days 00:00:05.641190,0.0019501368355549014,0.39741987903474685,8,extensive,final,elastic,,8,False,COMPLETE
24,-0.08014341350643599,2025-12-08 19:48:34.573964,2025-12-08 19:48:40.301987,0 days 00:00:05.728023,9.408392104469146e-05,0.8038286216945036,18,extensive,final,elastic,,18,False,COMPLETE
25,-0.0012615299666745461,2025-12-08 19:48:40.301987,2025-12-08 19:48:45.941279,0 days 00:00:05.639292,0.004499945864701605,0.23345623176342079,1,extensive,final,elastic,,1,False,COMPLETE
26,-0.02546207418394215,2025-12-08 19:48:45.941279,2025-12-08 19:48:51.619276,0 days 00:00:05.677997,0.0003823647719268808,0.6835110505843174,9,extensive,final,elastic,,9,False,COMPLETE
27,-0.22150835868415553,2025-12-08 19:48:51.619276,2025-12-08 19:48:57.491394,0 days 00:00:05.872118,0.00010956755228279029,0.34308170637836266,29,extensive,final,elastic,,29,False,COMPLETE
28,-0.0041517345392062975,2025-12-08 19:48:57.491394,2025-12-08 19:49:03.208807,0 days 00:00:05.717413,0.0014665557443831292,0.4672917266211625,20,extensive,final,elastic,,20,False,COMPLETE
29,-0.006315100846051203,2025-12-08 19:49:03.208807,2025-12-08 19:49:08.831089,0 days 00:00:05.622282,1.1227428009013835e-05,0.4969187203084541,6,extensive,final,elastic,,6,False,COMPLETE
30,-0.044891574314463625,2025-12-08 19:49:08.831089,2025-12-08 19:49:14.482437,0 days 00:00:05.651348,0.0034643106579297406,0.056235642341953496,14,extensive,final,elastic,,14,False,COMPLETE
31,0.001243682508163002,2025-12-08 19:49:14.482437,2025-12-08 19:49:20.116425,0 days 00:00:05.633988,0.0005674253853753064,0.8380913320649286,1,extensive,final,elastic,,1,False,COMPLETE
32,-0.04390572169740166,2025-12-08 19:49:20.118430,2025-12-08 19:49:25.869098,0 days 00:00:05.750668,0.0003409571000270738,0.6997897607566971,24,extensive,final,elastic,,24,False,COMPLETE
33,-0.003137799180166634,2025-12-08 19:49:25.869098,2025-12-08 19:49:31.499264,0 days 00:00:05.630166,0.0008512887436063484,0.8737999388173868,7,extensive,final,elastic,,7,False,COMPLETE
34,-0.0035853748108189308,2025-12-08 19:49:31.499264,2025-12-08 19:49:37.091085,0 days 00:00:05.591821,0.00014948698873266077,0.19795293644762607,5,extensive,final,elastic,,5,False,COMPLETE
35,-0.05290071414307249,2025-12-08 19:49:37.091085,2025-12-08 19:49:42.799380,0 days 00:00:05.708295,4.71556191108029e-05,0.5478459534983614,12,extensive,final,elastic,,12,False,COMPLETE
36,-0.0012615299666745461,2025-12-08 19:49:42.799380,2025-12-08 19:49:48.411899,0 days 00:00:05.612519,0.0013007009393862586,0.9318868043995803,1,extensive,final,elastic,,1,False,COMPLETE
37,-0.0012615299666745461,2025-12-08 19:49:48.411899,2025-12-08 19:49:54.098401,0 days 00:00:05.686502,0.007031253267286175,0.8009860630468015,11,extensive,final,elastic,,11,False,COMPLETE
38,-0.01505760984095077,2025-12-08 19:49:54.099446,2025-12-08 19:49:59.958799,0 days 00:00:05.859353,0.0006317493182200034,0.7064256324059348,24,extensive,final,elastic,,24,False,COMPLETE
39,-4.135059607648211,2025-12-08 19:49:59.958799,2025-12-08 19:50:07.914570,0 days 00:00:07.955771,1.4216472008393177e-05,0.9246325409846617,65,extensive,final,elastic,,65,False,COMPLETE
40,-0.003686798608580921,2025-12-08 19:50:07.914570,2025-12-08 19:50:13.535263,0 days 00:00:05.620693,0.0003375418363339808,0.07772890919166323,5,extensive,final,elastic,,5,False,COMPLETE
41,9.429055053886693e-05,2025-12-08 19:50:13.535263,2025-12-08 19:50:19.202138,0 days 00:00:05.666875,0.002073203709783512,0.3125318771588943,4,extensive,final,elastic,,4,False,COMPLETE
42,-0.041067422809104207,2025-12-08 19:50:19.202138,2025-12-08 19:50:25.121307,0 days 00:00:05.919169,0.001218360305107614,0.17723659845500273,13,extensive,final,elastic,,13,False,COMPLETE
43,0.0015404087393717791,2025-12-08 19:50:25.121307,2025-12-08 19:50:30.758872,0 days 00:00:05.637565,0.0007696037183042634,0.6441763384893451,5,extensive,final,elastic,,5,False,COMPLETE
44,-0.010370906232748878,2025-12-08 19:50:30.758872,2025-12-08 19:50:36.437067,0 days 00:00:05.678195,0.0007847322356265,0.6227490943489524,9,extensive,final,elastic,,9,False,COMPLETE
45,-0.06405670526131246,2025-12-08 19:50:36.437067,2025-12-08 19:50:42.141428,0 days 00:00:05.704361,0.00015777498368312113,0.7522808996499731,15,extensive,final,elastic,,15,False,COMPLETE
46,-0.00022662240656610156,2025-12-08 19:50:42.149099,2025-12-08 19:50:47.824961,0 days 00:00:05.675862,0.0002945804221224131,0.5515772550040687,5,extensive,final,elastic,,5,False,COMPLETE
47,-0.0012615299666745461,2025-12-08 19:50:47.824961,2025-12-08 19:50:53.574009,0 days 00:00:05.749048,0.00918396786915702,0.7423239621955109,20,extensive,final,elastic,,20,False,COMPLETE
48,0.0019108807499691905,2025-12-08 19:50:53.574009,2025-12-08 19:50:59.262118,0 days 00:00:05.688109,0.0005030255529268083,0.6541669079365043,1,extensive,final,elastic,,1,False,COMPLETE
49,-0.0012615299666745461,2025-12-08 19:50:59.268748,2025-12-08 19:51:06.074700,0 days 00:00:06.805952,0.0028580813902154573,0.8683543014087778,52,extensive,final,elastic,,52,False,COMPLETE
50,-0.05468404712023238,2025-12-08 19:51:06.074700,2025-12-08 19:51:11.791437,0 days 00:00:05.716737,5.386044571734306e-05,0.015858339292493667,10,extensive,final,elastic,,10,False,COMPLETE
51,0.0020991816271675344,2025-12-08 19:51:11.791437,2025-12-08 19:51:17.561770,0 days 00:00:05.770333,0.0004932236351619942,0.6632172546186637,3,extensive,final,elastic,,3,False,COMPLETE
52,0.0017768422856105249,2025-12-08 19:51:17.561770,2025-12-08 19:51:23.312477,0 days 00:00:05.750707,0.0005103033083714841,0.6627494121100383,2,extensive,final,elastic,,2,False,COMPLETE
53,0.0017835507154195574,2025-12-08 19:51:23.312477,2025-12-08 19:51:28.971217,0 days 00:00:05.658740,0.00019367828511653325,0.5871401317860058,3,extensive,final,elastic,,3,False,COMPLETE
