number,value,datetime_start,datetime_complete,duration,params_lasso_alpha,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-0.0012615299666745461,2025-12-08 19:35:49.481807,2025-12-08 19:35:55.291493,0 days 00:00:05.809686,0.117288537580501,22,extensive,final,lasso,,22,False,COMPLETE
1,-0.0012615299666745461,2025-12-08 19:35:55.291493,2025-12-08 19:36:02.162084,0 days 00:00:06.870591,0.026835192876676718,53,extensive,final,lasso,,53,False,COMPLETE
2,-0.0012615299666745461,2025-12-08 19:36:02.162084,2025-12-08 19:36:10.411686,0 days 00:00:08.249602,0.001206658940850124,68,extensive,final,lasso,,68,False,COMPLETE
3,-0.0012615299666745461,2025-12-08 19:36:10.411686,2025-12-08 19:36:16.270872,0 days 00:00:05.859186,0.004857910525726701,28,extensive,final,lasso,,28,False,COMPLETE
4,-0.0012615299666745461,2025-12-08 19:36:16.270872,2025-12-08 19:36:23.351415,0 days 00:00:07.080543,6.798510923519562,55,extensive,final,lasso,,55,False,COMPLETE
5,-0.0012615299666745461,2025-12-08 19:36:23.351415,2025-12-08 19:36:28.958771,0 days 00:00:05.607356,0.01074874944463258,6,extensive,final,lasso,,6,False,COMPLETE
6,-0.0012615299666745461,2025-12-08 19:36:28.958771,2025-12-08 19:36:34.743071,0 days 00:00:05.784300,0.0189613935532304,23,extensive,final,lasso,,23,False,COMPLETE
7,-0.0012615299666745461,2025-12-08 19:36:34.743071,2025-12-08 19:36:40.541472,0 days 00:00:05.798401,1.7828381416134038,26,extensive,final,lasso,,26,False,COMPLETE
8,-0.01599896024526748,2025-12-08 19:36:40.541472,2025-12-08 19:36:49.292888,0 days 00:00:08.751416,0.0004486939344670513,71,extensive,final,lasso,,71,False,COMPLETE
9,-0.0012615299666745461,2025-12-08 19:36:49.292888,2025-12-08 19:36:56.445818,0 days 00:00:07.152930,3.768769305997713,55,extensive,final,lasso,,55,False,COMPLETE
10,-0.0012615299666745461,2025-12-08 19:36:56.445818,2025-12-08 19:37:02.100508,0 days 00:00:05.654690,0.345345107252227,5,extensive,final,lasso,,5,False,COMPLETE
11,-0.0012615299666745461,2025-12-08 19:37:02.100508,2025-12-08 19:37:08.382566,0 days 00:00:06.282058,0.16409272897908406,43,extensive,final,lasso,,43,False,COMPLETE
12,-0.0012615299666745461,2025-12-08 19:37:08.382566,2025-12-08 19:37:14.582350,0 days 00:00:06.199784,0.11279791589787208,40,extensive,final,lasso,,40,False,COMPLETE
13,-0.7999734548304349,2025-12-08 19:37:14.582350,2025-12-08 19:37:24.771363,0 days 00:00:10.189013,0.00011354406352826134,80,extensive,final,lasso,,80,False,COMPLETE
14,-0.0012615299666745461,2025-12-08 19:37:24.771363,2025-12-08 19:37:30.449107,0 days 00:00:05.677744,0.04103706356847211,15,extensive,final,lasso,,15,False,COMPLETE
15,-0.0012615299666745461,2025-12-08 19:37:30.449107,2025-12-08 19:37:36.597864,0 days 00:00:06.148757,1.1546935853938545,40,extensive,final,lasso,,40,False,COMPLETE
16,-0.0012615299666745461,2025-12-08 19:37:36.598467,2025-12-08 19:37:43.321530,0 days 00:00:06.723063,0.002971731288361139,51,extensive,final,lasso,,51,False,COMPLETE
17,-0.0012615299666745461,2025-12-08 19:37:43.321530,2025-12-08 19:37:49.221029,0 days 00:00:05.899499,0.0641027077715263,33,extensive,final,lasso,,33,False,COMPLETE
18,-0.0012615299666745461,2025-12-08 19:37:49.221029,2025-12-08 19:37:54.929937,0 days 00:00:05.708908,0.364873768438315,15,extensive,final,lasso,,15,False,COMPLETE
19,-0.0012615299666745461,2025-12-08 19:37:54.932067,2025-12-08 19:38:02.899966,0 days 00:00:07.967899,0.009821713767352969,62,extensive,final,lasso,,62,False,COMPLETE
20,-0.0012615299666745461,2025-12-08 19:38:02.899966,2025-12-08 19:38:09.432306,0 days 00:00:06.532340,0.5518635031236269,47,extensive,final,lasso,,47,False,COMPLETE
21,-0.0016943757612363885,2025-12-08 19:38:09.432306,2025-12-08 19:38:17.396885,0 days 00:00:07.964579,0.000844041672249268,65,extensive,final,lasso,,65,False,COMPLETE
22,-0.0012615299666745461,2025-12-08 19:38:17.396885,2025-12-08 19:38:26.721416,0 days 00:00:09.324531,0.0013612685065179065,74,extensive,final,lasso,,74,False,COMPLETE
23,-0.07578531877230232,2025-12-08 19:38:26.721416,2025-12-08 19:38:34.591536,0 days 00:00:07.870120,0.00023586425839434795,64,extensive,final,lasso,,64,False,COMPLETE
24,-0.0012615299666745461,2025-12-08 19:38:34.591536,2025-12-08 19:38:41.905290,0 days 00:00:07.313754,0.02953121135364372,58,extensive,final,lasso,,58,False,COMPLETE
25,-0.0012615299666745461,2025-12-08 19:38:41.905290,2025-12-08 19:38:47.921959,0 days 00:00:06.016669,0.00298856546390401,34,extensive,final,lasso,,34,False,COMPLETE
26,-0.0012615299666745461,2025-12-08 19:38:47.921959,2025-12-08 19:38:56.792332,0 days 00:00:08.870373,0.09372674641273405,72,extensive,final,lasso,,72,False,COMPLETE
27,-0.0012615299666745461,2025-12-08 19:38:56.792332,2025-12-08 19:39:02.561868,0 days 00:00:05.769536,0.007563948064321113,17,extensive,final,lasso,,17,False,COMPLETE
28,-0.0012615299666745461,2025-12-08 19:39:02.561868,2025-12-08 19:39:09.280070,0 days 00:00:06.718202,0.00133848780188644,50,extensive,final,lasso,,50,False,COMPLETE
29,-0.0012615299666745461,2025-12-08 19:39:09.280070,2025-12-08 19:39:19.500195,0 days 00:00:10.220125,0.21143072208002373,79,extensive,final,lasso,,79,False,COMPLETE
30,-0.0012615299666745461,2025-12-08 19:39:19.500195,2025-12-08 19:39:25.421384,0 days 00:00:05.921189,0.003917484622909525,31,extensive,final,lasso,,31,False,COMPLETE
31,-0.0012615299666745461,2025-12-08 19:39:25.421384,2025-12-08 19:39:31.239341,0 days 00:00:05.817957,0.016156234174200697,23,extensive,final,lasso,,23,False,COMPLETE
32,-0.0012615299666745461,2025-12-08 19:39:31.239341,2025-12-08 19:39:36.912904,0 days 00:00:05.673563,0.004549571053743047,10,extensive,final,lasso,,10,False,COMPLETE
33,-0.0012615299666745461,2025-12-08 19:39:36.912904,2025-12-08 19:39:42.832685,0 days 00:00:05.919781,0.03240018117154988,25,extensive,final,lasso,,25,False,COMPLETE
34,-0.0012615299666745461,2025-12-08 19:39:42.832685,2025-12-08 19:39:48.711942,0 days 00:00:05.879257,0.0014992260206334433,29,extensive,final,lasso,,29,False,COMPLETE
35,-0.006241720035440657,2025-12-08 19:39:48.711942,2025-12-08 19:39:54.841501,0 days 00:00:06.129559,0.0006050884921586006,37,extensive,final,lasso,,37,False,COMPLETE
36,-0.0012615299666745461,2025-12-08 19:39:54.841501,2025-12-08 19:40:00.635404,0 days 00:00:05.793903,0.01656460078875655,18,extensive,final,lasso,,18,False,COMPLETE
37,-0.0012615299666745461,2025-12-08 19:40:00.635404,2025-12-08 19:40:08.262123,0 days 00:00:07.626719,0.007607650009579325,61,extensive,final,lasso,,61,False,COMPLETE
38,0.0019393702575916105,2025-12-08 19:40:08.262123,2025-12-08 19:40:14.014328,0 days 00:00:05.752205,0.00027123224401816033,2,extensive,final,lasso,,2,False,COMPLETE
39,0.0017431775217850332,2025-12-08 19:40:14.014328,2025-12-08 19:40:19.723436,0 days 00:00:05.709108,0.00012124282254880816,2,extensive,final,lasso,,2,False,COMPLETE
40,0.0022255490713166902,2025-12-08 19:40:19.723436,2025-12-08 19:40:25.627839,0 days 00:00:05.904403,0.00022251341185523002,3,extensive,final,lasso,,3,False,COMPLETE
41,0.0018345818983544816,2025-12-08 19:40:25.627839,2025-12-08 19:40:31.286931,0 days 00:00:05.659092,0.00012119535240846838,3,extensive,final,lasso,,3,False,COMPLETE
42,0.002121550025494701,2025-12-08 19:40:31.286931,2025-12-08 19:40:37.009304,0 days 00:00:05.722373,0.00012194551089601217,1,extensive,final,lasso,,1,False,COMPLETE
43,0.0021203400043790397,2025-12-08 19:40:37.010305,2025-12-08 19:40:42.671255,0 days 00:00:05.660950,0.0001208123377806652,1,extensive,final,lasso,,1,False,COMPLETE
44,0.002062337768033773,2025-12-08 19:40:42.671255,2025-12-08 19:40:48.411700,0 days 00:00:05.740445,0.0002680217264915219,1,extensive,final,lasso,,1,False,COMPLETE
45,-0.02324453812600329,2025-12-08 19:40:48.411700,2025-12-08 19:40:54.132688,0 days 00:00:05.720988,0.0002721588502453629,10,extensive,final,lasso,,10,False,COMPLETE
