number,value,datetime_start,datetime_complete,duration,params_lgbm_colsample_bytree,params_lgbm_learning_rate,params_lgbm_max_depth,params_lgbm_min_child_samples,params_lgbm_n_estimators,params_lgbm_num_leaves,params_lgbm_reg_alpha,params_lgbm_reg_lambda,params_lgbm_subsample,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-0.016427105053619863,2025-12-08 19:55:55.489619,2025-12-08 19:56:03.699283,0 days 00:00:08.209664,0.6220581250644752,0.006275723545367295,12,90,1495,105,0.25915589457596033,10.61365115611907,0.8102227936529932,4,extensive,final,lgbm,,4,False,COMPLETE
1,-0.001261529934154515,2025-12-08 19:56:03.699283,2025-12-08 19:56:28.170984,0 days 00:00:24.471701,0.70178746327117,0.010098754110625273,12,27,2305,107,1.8543146153537315,0.5749750973231219,0.9922175983656483,119,extensive,final,lgbm,,119,False,COMPLETE
2,-0.08799689920433662,2025-12-08 19:56:28.173150,2025-12-08 19:56:37.332610,0 days 00:00:09.159460,0.8999761284982489,0.020516012788143738,12,55,1792,88,0.15773903278366197,16.26311188081583,0.6076652299079104,34,extensive,final,lgbm,,34,False,COMPLETE
3,-0.001261529934154515,2025-12-08 19:56:37.332610,2025-12-08 19:57:04.799663,0 days 00:00:27.467053,0.6957314744668832,0.008969047347791545,3,84,3906,120,2.8895504034829598,4.276287237960546,0.7596651968073466,123,extensive,final,lgbm,,123,False,COMPLETE
4,-0.001261529934154515,2025-12-08 19:57:04.799663,2025-12-08 19:57:10.908575,0 days 00:00:06.108912,0.5543474460179707,0.005934635472287322,10,96,1096,97,2.715468501037077,0.69893154418135,0.9701359887041701,12,extensive,final,lgbm,,12,False,COMPLETE
5,-0.14633221639501862,2025-12-08 19:57:10.908575,2025-12-08 19:57:31.913246,0 days 00:00:21.004671,0.5013850473648795,0.013674900137696221,12,51,1606,102,0.03225698372845032,1.362277818871341,0.532141860175946,92,extensive,final,lgbm,,92,False,COMPLETE
6,-0.001261529934154515,2025-12-08 19:57:31.913246,2025-12-08 19:58:09.482863,0 days 00:00:37.569617,0.9465199098964269,0.012810400097977445,5,43,1018,93,4.250404985132079,12.145207211520896,0.9920678511614498,134,extensive,final,lgbm,,134,False,COMPLETE
7,-0.001261529934154515,2025-12-08 19:58:09.483374,2025-12-08 19:58:27.441127,0 days 00:00:17.957753,0.8225212116949762,0.03617784972020069,8,48,1840,128,2.3161587404195605,19.436465917980858,0.9502779339662502,105,extensive,final,lgbm,,105,False,COMPLETE
8,-0.001261529934154515,2025-12-08 19:58:27.441127,2025-12-08 19:58:36.521280,0 days 00:00:09.080153,0.7716627901591564,0.023286971207724414,8,92,1855,66,1.857728598732441,4.59069825356684,0.8202632149576191,68,extensive,final,lgbm,,68,False,COMPLETE
9,-0.001261529934154515,2025-12-08 19:58:36.521280,2025-12-08 19:58:44.970963,0 days 00:00:08.449683,0.6957012151791366,0.05907669033809254,12,98,3683,93,4.909414461554078,16.98161322668004,0.8321078489076699,57,extensive,final,lgbm,,57,False,COMPLETE
