number,value,datetime_start,datetime_complete,duration,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-4.743112462067842,2025-12-08 19:15:42.201371,2025-12-08 19:15:49.627031,0 days 00:00:07.425660,57,extensive,final,ols,,57,False,COMPLETE
1,-4.0841888475631425,2025-12-08 19:15:49.627031,2025-12-08 19:15:56.853495,0 days 00:00:07.226464,55,extensive,final,ols,,55,False,COMPLETE
2,-11.494185040024501,2025-12-08 19:15:56.853495,2025-12-08 19:16:07.599575,0 days 00:00:10.746080,80,extensive,final,ols,,80,False,COMPLETE
3,-5.762761541460387,2025-12-08 19:16:07.599575,2025-12-08 19:16:17.180204,0 days 00:00:09.580629,74,extensive,final,ols,,74,False,COMPLETE
4,-11.494185040024501,2025-12-08 19:16:17.180204,2025-12-08 19:16:27.632289,0 days 00:00:10.452085,80,extensive,final,ols,,80,False,COMPLETE
5,0.0018439018156545695,2025-12-08 19:16:27.632289,2025-12-08 19:16:33.325165,0 days 00:00:05.692876,1,extensive,final,ols,,1,False,COMPLETE
6,-5.350635913607988,2025-12-08 19:16:33.325165,2025-12-08 19:16:41.358721,0 days 00:00:08.033556,65,extensive,final,ols,,65,False,COMPLETE
7,-4.486283778396421,2025-12-08 19:16:41.358721,2025-12-08 19:16:47.976743,0 days 00:00:06.618022,46,extensive,final,ols,,46,False,COMPLETE
8,-4.443898860104634,2025-12-08 19:16:47.976743,2025-12-08 19:16:54.111877,0 days 00:00:06.135134,36,extensive,final,ols,,36,False,COMPLETE
9,-3.4771837214583314,2025-12-08 19:16:54.111877,2025-12-08 19:17:00.665635,0 days 00:00:06.553758,41,extensive,final,ols,,41,False,COMPLETE
10,0.0010184220442295722,2025-12-08 19:17:00.665635,2025-12-08 19:17:06.414353,0 days 00:00:05.748718,2,extensive,final,ols,,2,False,COMPLETE
11,0.000617876128479411,2025-12-08 19:17:06.416368,2025-12-08 19:17:12.145592,0 days 00:00:05.729224,3,extensive,final,ols,,3,False,COMPLETE
12,0.000617876128479411,2025-12-08 19:17:12.145592,2025-12-08 19:17:17.900399,0 days 00:00:05.754807,3,extensive,final,ols,,3,False,COMPLETE
13,-0.10238151156697102,2025-12-08 19:17:17.900399,2025-12-08 19:17:23.750011,0 days 00:00:05.849612,19,extensive,final,ols,,19,False,COMPLETE
14,-0.10238151156697102,2025-12-08 19:17:23.750011,2025-12-08 19:17:29.591240,0 days 00:00:05.841229,19,extensive,final,ols,,19,False,COMPLETE
15,-0.10148561392631457,2025-12-08 19:17:29.599259,2025-12-08 19:17:35.455804,0 days 00:00:05.856545,16,extensive,final,ols,,16,False,COMPLETE
16,-4.3951498054777,2025-12-08 19:17:35.455804,2025-12-08 19:17:41.501352,0 days 00:00:06.045548,31,extensive,final,ols,,31,False,COMPLETE
17,-0.05680811199117177,2025-12-08 19:17:41.501352,2025-12-08 19:17:47.333838,0 days 00:00:05.832486,11,extensive,final,ols,,11,False,COMPLETE
18,-0.2717818663342491,2025-12-08 19:17:47.333838,2025-12-08 19:17:53.389752,0 days 00:00:06.055914,29,extensive,final,ols,,29,False,COMPLETE
19,-0.05483188002136408,2025-12-08 19:17:53.390255,2025-12-08 19:17:59.103967,0 days 00:00:05.713712,10,extensive,final,ols,,10,False,COMPLETE
20,0.0018439018156545695,2025-12-08 19:17:59.103967,2025-12-08 19:18:04.832614,0 days 00:00:05.728647,1,extensive,final,ols,,1,False,COMPLETE
21,0.0018439018156545695,2025-12-08 19:18:04.832614,2025-12-08 19:18:10.489374,0 days 00:00:05.656760,1,extensive,final,ols,,1,False,COMPLETE
22,-0.05483188002136408,2025-12-08 19:18:10.489374,2025-12-08 19:18:16.283253,0 days 00:00:05.793879,10,extensive,final,ols,,10,False,COMPLETE
23,-0.19495874338422803,2025-12-08 19:18:16.283253,2025-12-08 19:18:22.175733,0 days 00:00:05.892480,25,extensive,final,ols,,25,False,COMPLETE
24,-0.05675575245206814,2025-12-08 19:18:22.175733,2025-12-08 19:18:27.861998,0 days 00:00:05.686265,9,extensive,final,ols,,9,False,COMPLETE
