number,value,datetime_start,datetime_complete,duration,params_ridge_alpha,params_selector__k,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-3.785258201297706,2025-12-08 19:25:55.222219,2025-12-08 19:26:01.856208,0 days 00:00:06.633989,15.39054017324413,49,extensive,final,ridge,,49,False,COMPLETE
1,-5.384694412811046,2025-12-08 19:26:01.856208,2025-12-08 19:26:09.203607,0 days 00:00:07.347399,0.056653725473610556,59,extensive,final,ridge,,59,False,COMPLETE
2,-0.20449613507795691,2025-12-08 19:26:09.203607,2025-12-08 19:26:15.032416,0 days 00:00:05.828809,19.157701240309386,26,extensive,final,ridge,,26,False,COMPLETE
3,-0.004592915177892088,2025-12-08 19:26:15.032416,2025-12-08 19:26:20.621085,0 days 00:00:05.588669,0.09249656987285665,5,extensive,final,ridge,,5,False,COMPLETE
4,-0.0568896627762868,2025-12-08 19:26:20.621085,2025-12-08 19:26:26.261871,0 days 00:00:05.640786,0.0009141362925211571,8,extensive,final,ridge,,8,False,COMPLETE
5,-5.315649212944091,2025-12-08 19:26:26.261871,2025-12-08 19:26:34.022996,0 days 00:00:07.761125,0.026856890812251063,64,extensive,final,ridge,,64,False,COMPLETE
6,0.0006178767023386378,2025-12-08 19:26:34.022996,2025-12-08 19:26:39.641151,0 days 00:00:05.618155,0.0001468227917229169,3,extensive,final,ridge,,3,False,COMPLETE
7,-10.003613628607145,2025-12-08 19:26:39.641151,2025-12-08 19:26:49.430168,0 days 00:00:09.789017,0.0006288669346105635,77,extensive,final,ridge,,77,False,COMPLETE
8,-3.641447369523751,2025-12-08 19:26:49.430168,2025-12-08 19:26:56.075038,0 days 00:00:06.644870,0.00030983973473348045,50,extensive,final,ridge,,50,False,COMPLETE
9,-4.44376687124967,2025-12-08 19:26:56.075038,2025-12-08 19:27:02.128003,0 days 00:00:06.052965,0.019673670016631502,36,extensive,final,ridge,,36,False,COMPLETE
10,-0.0842784068669525,2025-12-08 19:27:02.128003,2025-12-08 19:27:07.933042,0 days 00:00:05.805039,338.4630594472795,23,extensive,final,ridge,,23,False,COMPLETE
11,0.0018451240476049068,2025-12-08 19:27:07.933042,2025-12-08 19:27:13.609813,0 days 00:00:05.676771,0.799719570119,1,extensive,final,ridge,,1,False,COMPLETE
12,0.0010224522040058748,2025-12-08 19:27:13.609813,2025-12-08 19:27:19.241105,0 days 00:00:05.631292,1.6570836738461938,2,extensive,final,ridge,,2,False,COMPLETE
13,-0.10609960817200896,2025-12-08 19:27:19.244775,2025-12-08 19:27:24.962372,0 days 00:00:05.717597,1.9487714735952293,18,extensive,final,ridge,,18,False,COMPLETE
14,-0.08775391987243535,2025-12-08 19:27:24.971446,2025-12-08 19:27:30.617156,0 days 00:00:05.645710,1.1121038186761665,13,extensive,final,ridge,,13,False,COMPLETE
15,-4.369038192940962,2025-12-08 19:27:30.617156,2025-12-08 19:27:36.630059,0 days 00:00:06.012903,14.171614859897733,34,extensive,final,ridge,,34,False,COMPLETE
16,-0.08763700747083145,2025-12-08 19:27:36.630059,2025-12-08 19:27:42.339424,0 days 00:00:05.709365,0.6602633300991156,14,extensive,final,ridge,,14,False,COMPLETE
17,0.0021910891523245326,2025-12-08 19:27:42.340159,2025-12-08 19:27:47.961961,0 days 00:00:05.621802,813.0533770352449,1,extensive,final,ridge,,1,False,COMPLETE
18,-0.12336699080903876,2025-12-08 19:27:47.961961,2025-12-08 19:27:53.811695,0 days 00:00:05.849734,424.5168846506667,28,extensive,final,ridge,,28,False,COMPLETE
19,-0.08893707207664832,2025-12-08 19:27:53.811695,2025-12-08 19:27:59.572304,0 days 00:00:05.760609,75.46718315083353,17,extensive,final,ridge,,17,False,COMPLETE
20,-4.619455250151875,2025-12-08 19:27:59.572304,2025-12-08 19:28:06.050961,0 days 00:00:06.478657,0.006290901042443593,44,extensive,final,ridge,,44,False,COMPLETE
21,0.001849497621570273,2025-12-08 19:28:06.050961,2025-12-08 19:28:11.762211,0 days 00:00:05.711250,3.681012073099169,1,extensive,final,ridge,,1,False,COMPLETE
22,-0.05673408083237934,2025-12-08 19:28:11.762211,2025-12-08 19:28:17.458821,0 days 00:00:05.696610,0.20250436513654796,9,extensive,final,ridge,,9,False,COMPLETE
23,0.0018519752457941685,2025-12-08 19:28:17.458821,2025-12-08 19:28:23.162157,0 days 00:00:05.703336,5.3270434785243195,1,extensive,final,ridge,,1,False,COMPLETE
24,-0.048522571010364814,2025-12-08 19:28:23.162157,2025-12-08 19:28:28.841395,0 days 00:00:05.679238,91.34484661180771,11,extensive,final,ridge,,11,False,COMPLETE
25,-0.12568590380886446,2025-12-08 19:28:28.841395,2025-12-08 19:28:34.622972,0 days 00:00:05.781577,5.798378652615973,20,extensive,final,ridge,,20,False,COMPLETE
