number,value,datetime_start,datetime_complete,duration,params_selector__k,params_xgb_colsample_bytree,params_xgb_learning_rate,params_xgb_max_depth,params_xgb_min_child_weight,params_xgb_n_estimators,params_xgb_reg_alpha,params_xgb_reg_lambda,params_xgb_subsample,user_attrs_feat_level,user_attrs_label,user_attrs_model_type,user_attrs_pca_mode,user_attrs_top_k_features,user_attrs_use_PCA,state
0,-0.001234399,21:56.9,22:16.2,0 days 00:00:19.295809,34,0.41300145,0.001424028,8,18,2785,1.20727792,0.634968969,0.809992719,extensive,final,xgb,,34,FALSE,COMPLETE
1,-0.00126153,22:16.2,22:44.1,0 days 00:00:27.945694,119,0.808246325,0.003819507,6,10,823,3.989553848,0.133384253,0.555220892,extensive,final,xgb,,119,FALSE,COMPLETE
2,-0.00126153,22:44.1,23:00.7,0 days 00:00:16.564807,69,0.693244745,0.039622505,8,10,2006,4.27719034,1.945573217,0.695445693,extensive,final,xgb,,69,FALSE,COMPLETE
3,-0.00126153,23:00.7,23:29.9,0 days 00:00:29.238889,104,0.370788871,0.004844306,5,14,2889,2.414416449,1.209979741,0.388527449,extensive,final,xgb,,104,FALSE,COMPLETE
4,-0.00126153,23:29.9,23:54.9,0 days 00:00:24.951544,94,0.628188867,0.010457351,8,8,2677,3.972036643,10.12812171,0.715272673,extensive,final,xgb,,94,FALSE,COMPLETE
5,-0.00126153,23:54.9,24:07.9,0 days 00:00:12.955349,22,0.300122958,0.004513504,9,3,2309,2.71890059,3.804101173,0.450082772,extensive,final,xgb,,22,FALSE,COMPLETE
6,-0.00126153,24:07.9,24:17.8,0 days 00:00:09.913652,49,0.827256044,0.026354321,8,9,781,3.333926801,0.659289518,0.302830985,extensive,final,xgb,,49,FALSE,COMPLETE
7,-0.003173503,24:17.8,24:34.8,0 days 00:00:17.074565,56,0.657227304,0.027964651,9,3,2514,1.022335828,1.210419914,0.337266315,extensive,final,xgb,,56,FALSE,COMPLETE
8,-0.003514612,24:34.8,24:53.6,0 days 00:00:18.735153,43,0.492041575,0.005978612,10,3,1980,0.937893784,1.934511114,0.750656287,extensive,final,xgb,,43,FALSE,COMPLETE
9,-0.034948975,24:53.6,25:04.5,0 days 00:00:10.902942,44,0.847007732,0.021040144,4,19,548,0.220498746,19.88054938,0.403404597,extensive,final,xgb,,44,FALSE,COMPLETE
10,-0.001260614,25:04.5,26:09.4,0 days 00:01:04.891063,146,0.490037169,0.001073406,6,17,3918,1.787591713,0.245194546,0.893205028,extensive,final,xgb,,146,FALSE,COMPLETE
11,-0.001262866,26:09.4,27:07.9,0 days 00:00:58.509048,140,0.488723384,0.001060361,6,20,3950,1.793067575,0.261336544,0.89943262,extensive,final,xgb,,140,FALSE,COMPLETE
12,-0.001291578,27:07.9,27:24.7,0 days 00:00:16.849786,14,0.48062189,0.001266147,3,16,3930,1.650192292,0.374926187,0.898768771,extensive,final,xgb,,14,FALSE,COMPLETE
13,-0.02651409,27:24.7,29:27.0,0 days 00:02:02.275894,148,0.414867948,0.002322948,7,15,3379,0.152141633,0.100748895,0.801474052,extensive,final,xgb,,148,FALSE,COMPLETE
14,-0.00126248,29:27.0,29:42.2,0 days 00:00:15.232820,2,0.55608912,0.002162355,5,17,3274,1.595545896,0.295009464,0.811129087,extensive,final,xgb,,2,FALSE,COMPLETE
15,-0.00126153,29:42.2,30:06.9,0 days 00:00:24.611282,84,0.382602049,0.001743084,7,13,3332,2.783384121,0.529385744,0.607577362,extensive,final,xgb,,84,FALSE,COMPLETE
16,-0.003577423,30:06.9,30:41.5,0 days 00:00:34.673539,120,0.553977128,0.009348367,5,18,1668,0.999269005,0.202162933,0.824977358,extensive,final,xgb,,120,FALSE,COMPLETE
17,-0.00126153,30:41.5,30:52.4,0 days 00:00:10.888572,31,0.729450882,0.002955277,10,12,1395,4.968532224,0.723529837,0.633151653,extensive,final,xgb,,31,FALSE,COMPLETE
18,-0.00126153,30:52.4,31:13.6,0 days 00:00:21.201312,68,0.303327204,0.001568989,7,7,3574,2.065373328,5.513933947,0.515761089,extensive,final,xgb,,68,FALSE,COMPLETE
19,-0.001754324,31:13.6,32:18.0,0 days 00:01:04.355498,129,0.421264145,0.001037164,6,20,2858,0.716188178,0.157144316,0.868809141,extensive,final,xgb,,129,FALSE,COMPLETE
20,-0.00126153,32:18.0,32:48.8,0 days 00:00:30.862892,109,0.562034943,0.002865472,9,17,3015,3.202063055,0.415255655,0.767329002,extensive,final,xgb,,109,FALSE,COMPLETE
21,-0.001194995,32:48.8,33:29.2,0 days 00:00:40.366664,129,0.453892273,0.003545015,6,12,1154,1.370309639,0.100257711,0.541091336,extensive,final,xgb,,129,FALSE,COMPLETE
22,-0.001242591,33:29.2,34:14.0,0 days 00:00:44.758981,136,0.461511204,0.001476194,4,6,1161,1.542503937,0.18369811,0.668946189,extensive,final,xgb,,136,FALSE,COMPLETE
23,-0.001156681,34:14.0,34:54.9,0 days 00:00:40.908097,128,0.439141939,0.001612791,3,5,1351,1.323075103,0.13040535,0.670587569,extensive,final,xgb,,128,FALSE,COMPLETE
24,-0.001467433,34:54.9,35:17.6,0 days 00:00:22.709334,84,0.364805912,0.002117501,4,1,1483,0.543914259,0.139010426,0.539462776,extensive,final,xgb,,84,FALSE,COMPLETE
