,feature,coverage,folds_used,frac_folds_r2_pos,r2_train_mean,r2_train_medium,r2_train_std,r2_test_mean,r2_test_medium,r2_te_std,mse_train_mean,mse_train_median,mse_train_std,mse_test_mean,mse_test_median,mse_test_std,mse_improve_vs_baseline_mean,pearson_test_mean,spearman_test_mean
0,y_mean5,1.0,5,1.0,0.18564379627610678,0.18571968122846672,0.00025285454562307596,0.17268083942881965,0.1541063307587186,0.04773913411279134,9.134376391547997e-05,9.143142794857348e-05,3.1703549169996313e-07,8.22193293570255e-05,7.291774598648536e-05,6.391138709702444e-05,1.7452344803586245e-05,0.4194558701598766,0.39994239631336403
1,y_max5,1.0,5,1.0,0.05358316899172218,0.0534578184877732,0.0002944458522517692,0.053853640539856064,0.050931136249803166,0.02167342147982306,0.00010615650813592245,0.00010631134110234714,3.386347969417652e-07,9.221930689071495e-05,8.906828974632864e-05,6.703672868796263e-05,7.4523672698968e-06,0.3334678081271521,0.3421336587521161
2,y_mean21,1.0,5,0.8,0.04677998385986744,0.04668326796276545,0.00022921012180932834,0.04254808656460807,0.05547286885444824,0.036032725631830034,0.00010691967382242106,0.00010707641266564898,3.6847306602254513e-07,9.542721185476327e-05,8.873291273183555e-05,7.443982981909936e-05,4.244462305848477e-06,0.2449640543762996,0.253494623655914
3,y_min5,1.0,5,0.8,0.03556505754334458,0.03563265272370153,0.00019957777999643283,0.028565435351711743,0.035612997257778334,0.052678408950402975,0.00010817757770249759,0.00010830384221857144,3.5819126280171116e-07,9.449661845355907e-05,8.431934773610914e-05,7.053026422955197e-05,5.1750557070526805e-06,0.18671203282112458,0.16066776152953458
4,y_mean63,1.0,5,0.6,0.015059144161766281,0.015044375852499958,0.00013236807864706526,-0.004548729228657211,0.00019374127642746153,0.014436571684222941,0.00011047769069890453,0.00011062041416739204,3.767001865499094e-07,9.895233877243949e-05,9.273638130911399e-05,7.538728941483476e-05,7.193353881722656e-07,0.12393684474771874,0.0650057603686636
5,y_max21,1.0,5,0.4,0.0029929547330775465,0.0029323529313796115,0.00014383363429472864,-0.008303057439920302,-0.008067967932205988,0.019042500817891873,0.00011183108148679526,0.00011198086696164062,3.681553702549934e-07,9.84377932534603e-05,9.226916473266397e-05,7.283397965338042e-05,1.233880907151446e-06,0.15290975247225197,0.16825052817958402
6,y_mean126,1.0,5,0.2,0.009551992098087658,0.009587616010102717,7.280608223567092e-05,-0.010632311608215738,-0.008118288564044507,0.012862197327178727,0.0001110953950405376,0.00011123111533322204,3.7290967636224016e-07,9.929976224337718e-05,9.227715311112824e-05,7.457267734064316e-05,3.7191191723457753e-07,0.1479870347120645,0.10831413210445466
7,y_mean252,1.0,5,0.4,0.004872208439418069,0.004867242038834818,1.6785904528939084e-05,-0.011233116011379107,-0.007359942640829731,0.018253361411721198,0.00011162030053878211,0.00011175923622502944,3.704971079116387e-07,9.918808750446206e-05,9.235169344147695e-05,7.388616471148525e-05,4.835866561496717e-07,0.18261373891257762,0.14086021505376345
8,y_max63,1.0,5,0.4,0.0006395671912950984,0.000608663974430268,6.825168594999892e-05,-0.012106108366128377,-0.013259897958788347,0.01739027443171795,0.00011209505275888869,0.00011223742691025517,3.685083873368168e-07,9.905762636138725e-05,9.248415665519431e-05,7.345124312318994e-05,6.140477992245101e-07,0.11402562695495935,0.09994375294244524
9,y_min21,1.0,5,0.2,0.0021926893514089053,0.002196204833011861,1.703507690204644e-05,-0.012598313305121778,-0.0024172833332301025,0.01737679799436383,0.00011192085410312031,0.00011205756077971513,3.716769022403285e-07,9.942148756718375e-05,9.237550269510769e-05,7.438731390008262e-05,2.5018659342799783e-07,0.034723012385198815,0.01152015100816554
